x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
0,83,16907,1130,8
1,5,159439,12061,12
1,7,519286,15836,17
1,8,239896,8577,15
1,9,206339,8900,17
1,82,6454,645,10
1,102,13862,1649,33
2,8,102153,15805,14
3,9,42283,19746,13
3,104,132633,8779,46
4,2,256712,10355,11
4,11,61167,10303,13
4,83,189173,12451,25
4,92,41770,13189,27
5,1,314078,10870,10
5,2,82364,5727,16
5,3,107859,21262,10
5,12,117755,9298,13
5,14,84001,14861,11
5,104,42838,9326,41
7,12,37579,5198,13
7,82,66153,11992,31
7,105,1532,1309,161
9,15,208391,11101,13
10,15,195491,9985,11
10,17,28515,11043,73
11,1,99682,15754,11
11,17,74791,7519,47
12,2,378085,12462,11
13,89,20096,7995,29
14,20,12051,3605,684
14,90,72177,4278,42
15,16,132568,11789,14
15,87,78882,5550,38
16,16,64025,9074,16
16,83,177991,11736,64
16,91,69078,7745,46
17,16,144366,4349,41
17,82,39305,10021,82
17,83,26191,6532,56
17,91,101298,10358,34
18,89,101299,8914,37
18,92,50974,9581,36
19,83,63171,7813,37
19,89,192735,11508,37
19,92,42677,7781,49
20,90,36362,9962,44
21,89,29091,3237,20
21,90,115038,11733,32
21,91,10060,517,47
23,87,55869,8165,55
23,89,51859,16149,40
26,91,12911,547,58
28,87,9325,732,52
41,94,72315,8852,30
42,30,216037,3809,48
42,96,73286,9641,22
43,94,56246,8625,39
43,96,21809,400,111
43,97,64018,28559,54
44,94,71874,10199,42
44,97,27546,9997,37
45,96,37222,9101,28
46,96,91548,5856,60
51,99,11879,725,133
56,97,61490,8791,34
61,102,1591,436,96
64,3,83761,77941,4
67,102,14624,12615,7
68,104,189778,123772,16
69,109,89076,75836,9
70,2,182033,8955,30
70,105,74997,62324,14
70,110,28906,28532,5
70,112,94057,14538,21
71,106,522274,204374,5
71,107,10132,150,27
71,109,61214,9187,19
72,106,35566,10477,13
72,108,61038,7088,12
72,112,41982,5299,101
72,113,327967,9821,24
73,106,144613,76401,6
74,107,88676,9688,8
74,113,219557,5629,54
75,106,194540,153376,4
75,107,111701,96753,3
75,112,42940,48444,18
75,113,10296,625,33
75,115,91279,6058,25
76,113,25422,1583,19
76,114,261635,15802,22
76,119,24014,1439,29
77,107,43721,29648,10
77,112,26782,30263,14
77,113,123089,29405,21
77,119,155149,4168,32
78,107,150113,111509,5
78,115,7866,905,65
78,117,52833,12316,31
78,120,165895,9490,21
79,108,84287,8255,8
79,117,441397,9453,14
79,120,101372,13226,20
80,114,76665,6741,55
80,115,232939,9454,24
82,115,97154,10957,46
82,116,45510,6789,48
85,112,95807,15011,66
85,115,6792,2783,41
87,115,71170,12228,56
91,117,64096,11402,19
95,120,205598,8355,25
96,16,24254,8127,44
96,121,111073,23835,19
96,122,85642,15701,21
97,120,198606,12090,22
97,121,61706,9267,29
98,38,60312,7992,42
98,121,260756,15721,20
98,123,21137,1543,31
98,125,20275,1613,37
98,127,538956,13091,18
99,121,14403,436,33
99,122,171468,11120,18
99,127,181100,23875,31
100,32,49260,50176,10
100,123,430238,27296,17
100,124,196367,9256,24
100,125,66867,5241,25
100,127,82100,93252,17
101,123,9027,365,51
101,125,105325,5469,22
102,124,9276,1361,753
102,125,196797,11368,25
103,122,7706,7216,26
104,122,13155,351,192
105,116,52733,6378,26
105,119,353909,9538,22
105,120,670097,9315,21
107,119,9527,594,75
107,120,509206,9645,19
108,48,54296,19599,5
110,45,14860,4516,9
111,44,187181,4950,46
111,51,9729,7024,57
112,56,15189,4717,10
112,57,4376,2092,34
113,59,27883,9661,14
113,117,124630,14127,50
114,56,48217,13274,2
114,57,15152,4991,12
114,60,40407,19675,17
114,69,21600,1253,700
115,60,39131,19667,7
115,67,181667,47156,4
115,71,49853,14246,4
116,67,6171,708,37
116,71,22726,7062,11
117,52,8326,2306,56
117,54,134698,24412,4
118,72,15203,5022,15
120,70,108818,50029,3
126,71,13699,4147,12
127,67,134336,35941,7
127,69,33667,7362,21
127,71,12836,4002,9
