x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
0,69,904,50,351
1,61,3562,664,41
1,66,12355,3748,33
2,66,14591,7457,78
3,61,4079,501,45
3,67,10233,517,31
4,65,12286,2899,15
7,36,14995,8143,28
9,29,37341,20720,23
10,30,13276,2712,32
10,109,34689,11123,17
11,109,22171,5719,14
14,37,9135,7634,12
14,62,16040,4810,23
15,63,22067,6633,14
15,65,8129,721,19
17,26,10817,2769,12
18,6,5162,1982,62
18,24,21371,11428,15
19,22,13386,781,15
21,3,17655,3826,31
21,18,5019,1100,54
21,73,19018,1030,12
22,1,2809,82676,19
22,5,15040,13101,35
24,5,7187,2219,53
24,6,16601,9491,17
25,4,31013,10333,37
25,5,19360,12962,31
25,6,20576,11301,24
25,8,17551,4456,11
25,58,11759,3760,17
26,6,20968,8136,16
26,8,2098,765,44
26,9,20750,77661,23
27,4,4506,572,28
27,5,12310,794,25
28,91,2624,43,20
30,91,22618,5506,15
31,14,10781,1867,18
35,71,5595,352,30
36,34,7953,1893,18
37,75,9184,3866,13
37,76,29903,5724,17
48,9,15363,6188,27
50,78,19432,5755,16
51,83,22479,11326,32
52,0,7248,2974,26
52,1,7782,7538,14
52,76,18582,4099,18
52,78,51057,12232,19
53,80,7605,664,33
53,83,43337,7501,33
56,104,5626,366,34
58,76,12435,822,19
59,61,7578,1942,9
63,125,33861,7443,38
64,102,19252,3753,8
64,103,10110,2557,14
67,79,11649,2361,25
67,102,10475,457,101
68,103,30559,3218,23
68,104,31307,5726,12
70,103,14438,4042,16
71,102,39138,7125,29
71,103,34258,9891,22
71,104,5903,1885,20
72,104,43707,10289,14
73,102,24039,4640,15
73,103,38076,7540,19
74,40,4213,344,565
74,100,10269,755,12
74,102,52975,9028,17
74,103,33451,8617,12
74,104,22286,6780,18
75,73,18459,11354,12
75,103,18331,5152,10
75,104,108700,14082,18
80,100,35210,7819,12
81,73,15703,3939,15
83,29,15273,2484,73
83,30,11819,301,13
84,26,10291,1884,32
84,28,7568,926,40
85,29,7515,1756,7
85,30,12661,3714,13
86,29,25500,8769,7
86,103,8302,1606,128
89,42,30297,6383,8
90,29,23875,9485,12
90,30,28940,6448,29
91,25,11681,660,9
92,50,40078,6845,8
95,62,47406,14880,12
96,62,15883,530,13
96,74,34752,26101,22
97,29,21182,15225,38
97,59,20003,7589,6
97,65,19443,8843,7
97,66,42350,10321,12
97,67,9732,2071,21
98,63,6547,413,13
99,63,25583,5632,25
99,65,43092,9137,14
99,66,24901,9317,13
99,67,46996,16945,7
99,100,16128,3237,20
99,102,5099,437,47
100,63,25438,8075,11
100,65,26245,7504,12
100,66,11791,5224,30
101,67,20236,10198,6
102,28,639,1652,74
102,63,87300,7917,11
103,61,42792,25781,31
108,45,6382,1703,37
110,28,28930,4580,17
110,34,20533,8373,11
113,24,13233,1128,9
113,25,21064,964,10
113,26,31551,6525,10
114,24,5652,453,20
114,25,28159,8133,9
114,32,17472,8261,42
115,53,11750,342,25
115,54,2237,498,16
117,28,8852,9942,25
117,66,10887,304,14
118,28,30982,19696,26
118,53,58297,11647,8
119,21,32134,20062,29
120,18,24976,3493,6
120,22,34308,6395,10
120,24,24550,8551,4
120,25,12738,1099,33
120,112,1582,1654,34
121,22,10363,1352,32
121,24,22965,10708,10
121,25,121314,17313,6
121,51,57707,26416,19
122,20,16582,5706,7
122,21,26303,4894,21
123,18,19863,3917,7
123,20,22184,5489,17
123,22,23855,8729,21
123,24,52137,6010,13
124,20,39583,6869,3
124,21,61522,9240,11
124,22,102072,15452,13
124,24,126928,11026,15
124,25,78788,13395,9
124,33,9392,4671,23
125,17,13418,816,8
125,18,33098,9541,10
125,24,63133,6088,14
125,25,89538,11438,21
125,26,52160,10181,9
125,28,30038,5322,5
125,29,537142,19030,10
126,16,32226,5640,6
126,17,11623,4221,8
126,20,20475,7561,11
126,21,24396,8953,17
126,22,45316,8213,16
126,28,46399,8091,9
126,29,113481,12667,9
126,30,445151,21164,6
127,18,35347,8176,8
127,20,17852,5926,20
127,22,12238,4258,9
127,24,35757,6953,10
127,25,22742,4470,8
127,26,60040,10619,11
127,30,78059,14384,13
127,32,96248,4667,4
127,36,12084,403,7
127,58,16574,6327,132
