x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
0,47,206144,6476,17
0,48,9185,3302,31
1,51,174741,10677,15
1,66,12408,176,73
3,51,245407,10807,18
3,52,33444,14554,15
4,40,21745,13454,53
4,41,59029,12276,36
4,74,60601,5118,42
5,76,65003,10279,66
7,61,373559,11003,16
7,71,128069,10893,53
8,74,85575,7160,43
9,70,40212,9296,18
9,74,177897,9168,46
10,40,64664,12640,52
11,68,359773,11204,17
11,74,99227,9143,41
11,76,125345,7626,51
12,64,14251,12469,30
12,68,174638,13167,22
12,70,499611,23675,15
12,71,206876,275908,6
12,77,151685,13603,40
13,62,9906,7174,19
13,70,362538,81772,14
13,71,284303,58205,16
13,72,200761,13580,23
13,77,126359,10866,170
13,79,83676,12359,51
14,68,17148,7988,19
14,70,484232,20828,18
14,72,111419,11058,16
14,78,125593,3365,66
15,65,351360,10923,18
15,71,185978,10847,16
15,72,44529,8297,31
15,87,238527,235924,3
15,89,365920,487007,2
15,92,129812,151265,3
15,107,130044,121880,6
15,109,121111,132245,23
16,47,31720,3552,767
16,65,446334,16494,17
16,66,552452,20586,15
16,67,23412,6244,34
16,70,29903,3843,36
16,107,273614,265822,7
17,47,32499,2595,641
17,64,135348,11859,18
17,67,349400,10284,19
17,72,250627,157672,17
17,73,291101,552595,3
17,103,187835,251454,28
17,106,82396,120504,27
17,107,56580,60173,12
17,113,30691,28928,3
18,46,79584,9183,52
18,65,296585,13832,16
18,66,183376,7341,17
18,68,377011,11157,17
18,76,293618,10733,18
18,105,115746,170100,3
18,106,248840,282683,3
18,109,90818,78124,12
18,110,154513,152442,18
18,113,263194,488810,3
19,79,26505,10235,18
19,92,213369,191968,31
19,107,81296,69158,6
19,116,219477,198787,2
20,110,54111,75577,3
21,62,16065,7251,10
21,74,224746,10792,15
21,83,227472,10769,17
21,86,107561,13401,44
21,91,139752,368118,16
22,61,44157,14383,36
22,62,74073,12239,50
22,110,250403,153860,3
23,22,49079,12063,24
23,91,449967,236077,3
24,28,50173,1059,27
24,93,65681,6545,3
24,102,209678,194288,10
25,96,71010,75812,28
26,26,24809,1236,24
26,61,41602,36413,20
26,96,267481,282866,19
27,84,5988,955,32
27,96,215251,196364,0
28,78,118170,15499,47
28,110,48203,7324,46
29,42,85812,9298,46
29,104,110349,109141,17
29,113,10985,2651,31
30,4,2609,163,114
30,26,19016,4972,29
30,85,72527,11185,48
30,116,253438,439502,10
31,4,9716,999,23
31,26,45898,5438,36
31,74,278365,10071,14
31,116,34311,175166,68
32,64,24553,3100,817
32,70,497798,18805,18
32,71,206713,21688,16
32,100,28035,17042,52
32,105,103722,182289,26
33,23,50852,8912,25
33,33,28087,8608,21
33,76,62018,9511,18
33,116,163830,195522,3
34,23,22424,3461,31
34,57,31910,7036,46
34,86,14558,4117,616
34,106,223917,217791,32
35,22,190789,17384,22
35,25,74291,11832,27
35,27,49732,7117,22
35,41,136637,12683,49
35,46,3597,2891,701
35,74,4975,1408,36
35,87,79988,10037,48
35,107,131775,158706,24
36,23,61594,9748,24
36,73,46793,5438,38
36,87,394544,452599,3
36,91,309807,246674,14
37,10,19048,9626,29
37,19,90995,6845,25
37,22,69296,13382,25
37,23,48790,8849,23
37,29,49505,9350,21
37,87,32888,27804,571
38,11,4739,853,17
38,21,24124,5845,22
38,22,184915,5322,24
38,25,201439,21257,22
38,65,38710,18713,27
38,72,80559,9840,53
38,73,147932,11870,56
39,51,16962,3588,808
