x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms,average
2,64,4,0,323323331,4
2,75,11,21,14,11
2,75,5,1,1,5
2,77,2,2,0,2
3,74,0,323331011,154298,0
3,76,323323331,10,857,323323331
4,39,83037,93047,6,83037
5,45,333001310,2,2,333001310
5,59,16,2,0,16
6,45,30232333,13103,200131,30232333
7,45,6,1,30232333,6
8,59,5744,11,27,5744
8,60,9,3,2,9
9,45,0,232333001,3110,0
9,57,6,9,9,6
9,60,14,14,8,14
10,57,301189,233121,13,301189
11,45,4,0,333001311,4
11,56,332333103,3,2,332333103
17,45,7,2,2,7
17,45,52,6,20,52
17,55,0,232332333,1111,0
18,45,289661,7,8,289661
18,46,1,1,0,1
18,55,2,0,332333111,2
20,55,30232332,3331100,258073,30232332
22,55,31,6,30232332,31
22,55,12,2,0,12
23,55,11,3,2,11
24,11,10,4,1,10
24,44,23233300,13230,3402,23233300
24,55,6,9,4,6
25,11,519,771,14,519
25,43,3,3023233,30013300,3
25,44,0,233300132,32,0
25,45,30013223,28292,11715,30013223
26,12,179238,16,31,179238
27,49,80219,30878,8,80219
27,53,165855,8,19,165855
28,42,1,0,23233300,1
29,48,23233233,31202,32900,23233233
29,49,23331201,194915,59761,23331201
31,79,7,302323323,331012,7
36,41,1,1,0,1
39,6,28,29,10,28
39,91,585,691,5,585
39,92,152631,8,20,152631
40,90,230306,133307,7,230306
41,4,821,730,28,821
43,4,171150,15850,26,171150
43,5,11814,37,1,11814
44,64,1,1,0,1
45,4,323330333,30,572,323330333
45,63,23233303,30230,98516,23233303
45,64,21,5,4,21
45,65,1,1,30232333,1
46,61,2,0,23233303,2
46,62,1,3023233,30330232,1
46,63,0,233303302,31,0
47,65,9847,29,3,9847
48,64,30330223,209239,36685,30330223
48,65,60,13,6,60
48,65,20951,15790,11,20951
49,85,1,0,323330330,1
50,85,2,2,4,2
50,86,19,4,0,19
51,85,24,32,2,24
51,87,52421,11,1,52421
52,84,617057,23766,30,617057
52,85,7683,24,4,7683
52,85,9,5,7,9
52,105,2,0,333032131,2
52,106,0,232333032,1311,0
53,4,0,330333031,15624,0
55,103,2,2,0,2
57,104,12,2,30232333,12
58,91,830,705,15,830
58,102,10,1,1,10
60,91,242,328,34,242
60,95,13,3,2,13
62,3,14,4,0,14
63,0,7837,27,7,7837
63,1,25,29,7,25
63,2,9,9,3,9
63,91,0,330330022,156914,0
65,92,323330330,21,139,323330330
72,90,1,302323330,330033,1
104,94,30232333,330133,322855,30232333
104,95,333033013,2,9,333033013
109,15,15,12,2,15
109,91,0,232333033,200,0
110,18,2,0,333033313,2
110,19,0,232333033,3123,0
110,91,1,0,333033020,1
111,18,9,2,30232333,9
113,19,2,1,0,2
114,19,33,1,1,33
120,89,27,1,1,27
121,89,32,1,1,32
121,94,1,1,0,1
122,88,29360,27,5,29360
126,24,4928,34321,29,4928
