x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms,average
1,13,116147,22,23,116147
1,14,21567,87738,10,21567
1,20,4,4,0,4
1,25,323323331,232,823,323323331
1,29,171,20,8,171
1,30,118498,8,66,118498
2,13,58,519,10,58
2,18,445285,6,3,445285
2,20,0,9,6,0
2,22,2,0,323323331,2
2,24,0,323331233,218714,0
3,13,126219,68397,10,126219
3,14,23233233,32110,65190,23233233
3,15,23332100,515777,25074,23332100
3,21,1178,10,20,1178
3,22,11,7,4,11
3,34,3,0,23233233,3
4,6,8,162,5,8
4,9,8,4,3,8
4,11,0,323332303,202096,0
4,14,0,233233321,11,0
5,12,323323332,301,17,323323332
5,14,37,10,0,37
6,14,17,3023233,23332112,17
7,14,8,0,23233233,8
7,14,8,12,5,8
8,13,8,302323323,332310,8
8,33,163410,178991,8,163410
8,38,25,4,0,25
9,11,5,3,0,5
9,13,11,0,323323332,11
10,14,8,14,9,8
11,40,4,3023233,23331211,4
13,0,4,2,0,4
14,12,23045,15,2,23045
16,41,0,330003220,16862,0
17,1,2,1,1,2
17,39,9,3,0,9
17,40,507,13,4,507
19,40,813819,36147,23,813819
19,41,1,302323330,3230,1
20,40,1,0,323330003,1
21,40,8,1,1,8
22,40,7,3,2,7
22,41,2,1,0,2
26,71,3,0,23233233,3
29,34,30232333,10200,251513,30232333
29,36,333001013,3,9,333001013
30,26,1,1,30232333,1
32,28,1,0,333001021,1
32,30,0,232333001,202,0
33,26,26827,29,1,26827
33,27,2,1,0,2
35,26,44957,48781,9,44957
38,27,11,1,1,11
39,15,539,297,9,539
39,25,23233300,11033,9281,23233300
40,23,2,1,0,2
40,25,30011032,205934,167680,30011032
40,25,0,233300111,0,0
40,27,87,6,2,87
41,24,2,0,23233300,2
41,25,1,3023233,30011110,1
42,20,241376,269274,6,241376
42,23,11,1,1,11
42,24,7,4,2,7
48,10,1,0,323330012,1
48,17,323330012,102,877,323330012
49,16,0,330012103,145673,0
50,15,1,302323330,12120,1
55,3,149,47,1,149
55,14,8,5,2,8
125,30,355955,502724,5,355955
125,40,4,6,7,4
126,10,19,4,1,19
