x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
0,80,3974,701,36
0,81,37574,27287,13
0,82,21239,36512,30
0,102,24056,17827,27
1,100,32445,21743,17
2,81,7669,787,26
2,102,13789,544,17
4,80,16705,18923,25
5,79,31432,22686,17
5,80,11253,13880,3
7,77,13847,36510,17
7,79,2232,171,72
8,77,7705,6315,61
10,92,30052,34693,15
12,80,22928,3874,18
12,94,25487,40644,13
13,93,25214,36708,15
18,77,3121,1891,15
20,86,27017,35917,16
26,70,12391,33600,19
38,19,7996,747,59
38,20,52807,77446,10
40,43,19588,369,24
42,34,5180,625,49
44,22,18066,5958,9
49,35,26504,10103,25
50,33,37309,3364,19
51,100,8409,1405,20
53,33,51865,3067,9
53,53,6636,782,32
53,56,5168,254,85
54,29,10797,9084,4
54,34,4010,587,45
55,33,14004,28055,2
55,34,19145,7304,3
55,35,42472,42514,17
55,41,9131,706,48
55,47,23887,30092,18
55,56,3704,635,32
56,34,29130,44066,2
57,31,22253,17224,2
57,33,49166,58120,4
57,36,83061,48711,14
58,3,28367,29741,27
58,5,26192,39381,13
58,33,69043,71636,2
58,34,75139,75069,20
58,36,3267,1282,20
59,33,90769,96280,2
59,34,33249,37560,16
59,35,34756,46509,2
59,37,109562,111747,13
59,39,35367,37675,5
59,43,22014,31525,1
59,50,78596,91678,2
60,18,54315,38716,18
60,31,56813,52952,2
60,34,83476,86985,2
60,35,118907,98329,2
60,36,73475,71105,3
60,39,49965,45544,2
60,43,66475,63392,7
60,46,68908,15657,12
60,51,37492,35177,2
61,31,1619,2873,3
61,33,156462,155133,2
61,35,57263,57592,2
61,36,46801,48763,2
61,37,25100,30819,2
61,40,33383,42466,2
61,41,47495,50290,2
61,45,67331,16366,6
61,50,73059,74068,2
62,29,63235,50203,3
62,33,28668,34019,19
62,34,97318,88641,2
62,36,68620,79892,4
62,37,33689,35387,10
62,39,42730,45556,2
62,40,96628,68427,2
62,41,102373,103497,4
62,42,64593,89259,3
62,45,69994,103507,2
62,46,31571,39065,8
62,50,66282,75898,3
62,51,41129,46727,2
62,106,11562,12268,6
63,29,8727,25350,25
63,30,55156,76080,3
63,34,36063,37512,1
63,35,50766,48205,2
63,37,76969,88173,2
63,39,39851,42229,3
63,41,74142,77135,2
63,42,45501,38244,23
63,43,31721,48764,41
63,46,67226,62702,2
63,50,42134,50693,2
63,51,58892,63526,5
63,106,4096,1741,13
64,30,30389,28874,4
64,31,103152,108443,3
64,33,55471,49228,5
64,34,51578,56830,4
64,35,72345,60386,9
64,36,46883,42032,5
64,39,38935,17653,13
64,40,17609,21882,10
64,42,29012,21202,43
64,43,206560,206453,2
64,47,56328,47773,3
65,29,175796,166214,3
65,31,6534,447,63
65,33,68205,63404,3
65,35,31796,33722,4
65,36,69067,67813,5
65,37,76575,76168,10
65,40,26509,34947,8
65,41,41035,45437,2
65,45,27992,33823,2
65,47,38693,42418,2
65,48,196652,212474,3
65,121,5402,4236,71
66,17,33974,34656,15
66,22,27474,25839,53
66,29,6559,2694,25
66,30,3684,473,339
66,33,82206,59085,23
66,34,47527,51679,6
66,36,95911,96335,5
66,37,49156,48615,2
66,40,33965,38384,16
66,41,9517,3481,24
66,42,20690,15603,22
66,46,19829,10353,2
66,48,1954,954,50
66,51,7350,777,35
66,106,23300,13833,44
67,29,19038,18705,15
67,30,5204,876,61
67,31,22064,16900,5
67,34,26345,23830,13
67,35,46555,49513,14
67,37,33993,40954,2
67,39,29591,32275,7
67,41,24478,21400,8
67,42,23331,2846,10
67,46,16310,3563,35
67,47,75991,53714,2
67,50,19522,19233,2
68,22,28536,39095,15
68,30,25235,21009,34
68,31,9637,389,70
68,34,28197,8784,36
68,35,77495,86337,3
68,36,52607,54775,8
68,39,40431,40842,2
68,40,119462,106465,2
68,42,72360,74775,2
68,45,7849,594,55
68,47,164180,175917,2
68,105,2897,484,83
69,28,6088,708,28
69,29,4282,591,65
69,31,35165,26869,56
69,33,36382,34444,6
69,35,19434,24694,2
69,36,35476,28559,3
69,37,22809,31151,6
69,40,50745,54580,5
69,41,46239,43750,3
69,43,31287,23214,34
69,45,15473,14613,67
69,47,5132,239,81
69,48,43534,46298,2
69,50,42329,37510,2
69,103,29487,14439,17
70,28,82411,90712,2
70,29,21765,19674,36
70,30,3896,728,60
70,33,5576,1440,19
70,34,43073,40365,5
70,36,123579,104807,3
70,37,34360,41549,2
70,39,22005,27568,4
70,41,20089,1076,61
70,42,27553,17433,23
70,45,2642,476,103
70,46,5158,256,69
70,48,209338,188059,4
70,50,5038,755,54
70,57,22434,7955,9
71,29,34685,13222,7
71,30,6740,917,70
71,31,6146,727,64
71,34,12955,8589,15
71,35,61925,89084,3
71,37,52630,50758,5
71,39,48567,49152,11
71,40,69236,69298,8
71,41,31680,36206,8
71,46,49702,58321,1
71,47,57103,87675,2
71,56,3434,2528,9
71,94,19761,6639,24
72,28,6326,9962,98
72,30,114894,105495,2
72,31,55777,58434,2
72,33,40035,44024,2
72,35,34805,12157,8
72,36,64428,65449,50
72,39,100673,90743,2
72,40,21701,30636,5
72,42,32946,32712,13
72,43,5258,644,58
72,45,41598,47720,8
72,47,17391,34334,37
72,48,6699,672,31
72,64,3846,536,88
72,92,38300,26730,17
73,31,44278,51268,2
73,33,105900,101508,8
73,34,141539,164297,3
73,35,25817,24988,19
73,36,35993,36479,2
73,37,44117,43192,16
73,40,15508,9449,14
73,41,23499,19440,4
73,46,24941,32556,18
73,48,4913,536,58
73,62,6377,569,24
74,24,5943,762,29
74,29,7259,813,20
74,30,40781,32081,2
74,33,48545,50375,2
74,34,37288,35516,4
74,37,96756,65193,14
74,39,18057,20500,30
74,41,4048,694,32
74,42,10285,7802,7
74,45,46403,47895,2
74,46,39782,47997,13
74,47,6333,768,34
74,48,6068,724,49
74,50,28280,27333,7
74,62,4217,683,11
74,63,7290,625,17
75,26,7292,600,34
75,28,8777,919,38
75,29,11105,8423,18
75,30,42901,49576,7
75,31,47033,56197,2
75,34,33999,35428,6
75,35,67293,75663,2
75,39,45043,47433,2
75,40,25501,22352,11
75,42,18695,22898,33
75,43,31092,33808,4
75,47,14943,7500,4
76,26,5261,1207,14
76,28,15059,12645,17
76,33,28338,45038,1
76,35,25770,27399,12
76,39,90401,91589,1
76,40,32467,34140,25
76,42,37354,72908,4
76,43,11744,14671,4
76,45,42176,37925,2
76,63,6280,561,83
77,28,4477,392,120
77,31,195239,228448,4
77,33,73474,42830,3
77,34,20824,24396,7
77,37,423411,406333,4
77,40,7868,8387,4
77,57,6642,17368,25
77,62,4919,731,64
77,69,1049,1943,99
77,70,8992,1145,26
78,22,14091,39272,14
78,25,2415,594,51
78,34,46788,60597,5
78,35,124907,46491,11
78,36,17109,18856,1
78,37,65100,85660,2
78,39,60834,66473,3
78,46,29092,3043,8
78,47,60883,1866,4
78,69,8775,529,23
78,70,12126,24808,18
79,25,5442,550,116
79,28,25074,38853,46
79,31,6703,684,66
79,35,26586,38459,2
79,37,49912,5365,3
79,39,57301,5479,14
79,40,70764,52447,2
79,42,76438,77972,17
80,24,6621,829,39
80,26,5059,627,63
80,29,8277,14787,24
80,31,69212,76934,13
80,42,19934,13982,15
81,19,18182,29475,14
81,20,5278,798,80
81,28,1001,580,86
81,33,3927,868,34
81,46,8805,662,27
82,18,13687,37999,16
82,33,8236,719,28
82,34,6040,617,17
82,46,36032,37829,11
82,47,23066,12704,23
83,23,5879,748,33
83,37,5269,876,38
83,43,3235,21558,30
83,46,15221,22735,18
83,47,28244,17008,17
84,28,1159,743,30
84,40,3661,438,27
85,40,6177,514,52
85,41,474807,447798,2
85,42,6060,738,71
85,43,3861,490,87
86,30,3419,477,69
86,41,6400,527,75
86,46,3582,617,76
86,57,4635,550,47
86,67,11443,11638,2
87,37,4686,574,66
87,39,10170,11228,29
87,46,4835,1081,41
87,64,15762,3951,6
88,28,5769,545,41
88,48,4987,932,33
89,25,6917,689,53
89,41,999,898,51
89,42,4718,1905,9
90,50,9138,272,33
90,94,32339,41463,21
90,96,16600,9676,17
91,25,5225,740,33
91,43,4233,1912,10
91,76,4948,518,13
92,26,57901,11984,6
92,48,6222,722,36
92,50,10398,709,26
92,68,5297,664,39
92,69,22419,11460,32
93,24,35595,36526,21
93,25,6913,562,106
93,50,8294,304,32
93,69,5353,675,32
93,70,28409,3201,34
93,74,7085,7173,7
93,76,3514,488,48
93,77,9955,4445,8
94,25,62516,20156,7
94,43,27865,34443,38
94,71,24587,11778,10
95,23,3164,582,65
95,24,57561,58353,3
95,42,17838,23089,13
95,51,4790,965,33
95,67,10201,706,28
95,68,6910,646,47
95,69,22070,2925,244
95,73,16402,6711,19
95,82,13808,996,8
96,23,48102,41293,4
96,24,44405,85100,3
96,69,5015,611,63
97,24,50332,73427,3
97,69,7071,685,59
97,82,15420,3175,10
97,90,18001,4030,15
98,23,4320,43676,4
99,52,4598,704,33
100,23,27724,25467,7
100,64,21480,11380,31
101,22,15629,28205,9
101,58,1939,608,71
101,60,19429,20351,4
101,62,4877,592,57
101,67,11551,12603,20
101,82,33450,34850,12
102,68,3542,610,20
102,127,22306,17892,21
103,126,28276,35390,33
106,18,8870,4686,25
108,110,3894,334,34
108,114,21120,37089,3
110,13,5027,719,36
111,12,401,41,261
111,91,37084,24494,13
112,12,3786,656,70
112,22,3108,366,263
112,62,30264,14942,12
112,109,4133,644,65
113,62,36230,37064,13
113,63,32592,31500,12
114,64,33193,5762,4
114,79,16789,13986,25
115,80,38878,36161,15
115,121,21748,35434,23
116,80,39065,37855,27
116,81,31446,21562,25
118,110,11900,10707,12
119,87,35486,40751,14
119,88,18551,2531,18
122,70,7443,4594,56
126,79,10385,33011,20
126,80,38054,38797,15
