x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
1,36,65643,33028,9
3,61,135431,100198,48
5,120,378236,63763,21
13,65,429742,165010,19
16,65,45985,35172,12
17,10,63559,53800,10
18,123,294747,25347,47
22,93,131049,91868,14
30,77,147819,32851,23
35,80,27636,12274,132
39,31,88490,37739,10
41,84,3091,5017,44
44,96,98851,64170,34
47,93,25784,14252,40
47,96,306108,65721,30
58,87,659215,65727,10
60,95,85194,39694,40
64,123,7483,9738,11
65,108,48020,35204,20
75,8,54554,43422,12
75,124,11266,4540,36
85,24,91909,61319,40
87,74,60603,12344,13
88,24,94296,73372,33
96,73,851167,39294,12
98,52,32520,26941,29
100,83,42415,66356,13
109,77,66636,77322,12
114,30,264437,39217,13
117,112,13169,16978,40
119,89,229924,57107,29
121,104,48501,29496,18
122,102,123969,49606,25
123,27,35757,15809,33
