x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
1,1,23347,19498,9
1,15,131003,100879,10
7,47,77892,43103,9
8,46,70081,80026,8
12,61,51591,59650,27
20,57,208607,246574,8
20,60,212597,58830,24
34,1,212790,57107,16
34,77,374944,49318,34
36,123,51309,62366,17
50,27,94501,24500,19
62,83,154175,55011,19
71,32,278577,70482,24
72,32,322971,69054,19
73,2,40678,44503,32
74,12,326307,53156,32
75,33,448741,52376,34
77,66,842770,53265,32
79,85,577748,39655,19
89,63,108364,39802,21
97,71,150227,36806,29
105,16,77794,61184,19
112,69,54446,49721,24
114,69,53246,64131,24
116,66,200532,54930,20
117,64,54456,21097,57
118,63,45226,63015,20
119,61,96856,62463,21
119,63,186168,68532,20
119,64,468449,63627,40
119,98,268053,47893,27
120,64,123047,47029,25
120,66,188329,69578,21
120,97,200826,50158,30
122,64,15705,26051,96
