x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
0,42,132489,52366,30
2,55,51721,21486,14
2,60,36417,39637,12
7,36,62949,63625,17
8,10,571937,63396,16
9,36,104422,79086,15
13,36,89545,65751,16
14,63,27077,7166,19
20,30,66743,26897,12
31,7,138863,66791,13
32,29,65371,70806,7
33,32,13594,15076,12
44,11,106355,135116,15
46,11,129175,93383,14
47,38,328862,24408,14
52,5,75273,63083,18
52,10,645307,59512,12
53,11,375344,37019,17
62,45,14233,12952,14
69,88,110215,48743,21
72,77,427276,44156,29
72,83,93913,38342,24
73,80,211838,34751,14
94,2,71584,72024,13
106,20,377900,58794,12
106,21,66444,35622,9
107,21,440377,58208,15
113,46,83703,95407,25
