x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
0,65,762,10510,140
3,64,37116,11153,13
3,65,27702,13999,19
6,23,80593,17041,28
6,107,32886,14364,23
19,119,12366,48,47
22,122,93528,21186,25
26,57,11873,826,18
26,122,20768,7293,20
28,45,93491,93017,10
32,15,16695,9577,24
41,120,128157,35720,18
50,70,42571,21038,21
51,85,160582,17105,18
55,16,17224,7602,27
55,73,32704,15349,20
60,31,141900,39680,25
61,73,6859,682,14
65,11,12938,14770,35
75,19,11155,6251,16
75,20,17152,13501,21
76,100,45978,15665,13
77,53,150911,22905,33
90,67,51489,24561,15
93,40,34127,32494,7
93,40,20050,16913,3
94,45,7050,2965,3
95,40,62412,48415,1
96,40,218451,251931,1
96,84,71081,21320,16
97,7,19735,4534,31
99,33,11058,2641,30
99,33,290101,258779,8
99,37,198934,60472,31
100,117,50487,1546,17
101,118,48785,16718,16
102,118,21191,17955,17
104,14,18811,4781,26
104,33,31840,10056,19
105,33,8190,8716,9
105,35,158135,117518,24
106,35,201257,198215,11
106,38,31191,23374,24
107,31,133885,181313,2
107,33,318937,373141,8
107,35,7107,32111,9
108,18,62312,67772,2
108,20,21075,23689,25
108,33,35774,11377,14
108,38,325624,293130,3
108,47,335060,371210,2
109,21,101492,30596,24
109,31,42945,43513,9
109,32,26805,27014,10
109,33,94386,91719,11
109,38,97241,51501,13
109,39,68271,47629,23
109,41,8526,9904,45
110,32,133251,145686,8
110,34,51962,39004,7
110,36,79896,26617,11
110,42,434306,555079,2
111,31,51814,44334,9
111,33,110282,96343,10
111,33,81137,84641,7
111,37,24417,11941,12
111,39,94125,93432,2
111,42,72578,79544,2
111,52,76281,33249,25
112,30,240520,327232,5
112,31,434910,363479,7
112,32,187510,194585,7
112,34,87487,104674,5
112,35,91453,74714,13
112,40,8578,24435,42
112,42,115950,95352,4
113,30,163582,234706,12
113,31,221098,213273,8
113,32,111986,147578,7
113,33,145266,155012,4
113,33,82282,97954,5
113,60,6853,552,13
114,25,15078,26178,4
114,26,90132,4576,21
114,31,194126,191947,7
114,32,88625,81176,5
114,33,221054,229772,3
114,33,80399,77521,6
114,35,240890,174958,13
115,27,273604,263837,1
115,31,103794,96027,7
115,32,260245,251565,7
115,33,52472,30953,8
115,34,126386,138309,1
115,35,16395,24873,31
116,26,111369,135391,2
116,27,180686,237159,2
116,29,195758,241437,8
116,30,48615,43949,1
116,32,134223,93885,3
116,33,52905,49048,14
116,34,65054,74259,10
116,56,24162,20655,26
116,57,23299,9632,12
116,123,23138,6828,18
117,27,90063,147098,4
117,29,181372,213129,4
117,30,112476,81039,10
117,31,101980,114293,8
117,33,62472,33676,3
117,38,37402,15817,2
117,41,35191,37612,3
118,29,210088,236596,9
118,32,58426,68444,12
118,56,14371,17455,24
118,60,74648,17285,18
119,26,15153,3796,19
119,30,70773,74722,5
119,34,52779,47817,16
120,25,109177,106011,2
120,32,32039,41919,2
120,33,40921,34939,2
120,34,29594,6073,31
120,35,17723,4250,30
123,24,46937,19675,2
126,127,64458,26137,12
