x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
0,28,279501,10483,19
0,32,713455,11039,16
1,16,47275,2058,58
2,14,49164,5818,16
2,29,209231,27441,22
2,44,182116,7566,55
2,58,366851,11447,16
2,88,363291,9876,14
3,29,251621,32357,14
3,112,59812,11665,17
3,115,228283,22242,15
4,0,43787,11295,42
4,12,56946,10228,26
5,109,219805,11297,17
6,18,376472,11647,15
6,22,119328,10947,47
6,49,349463,22075,15
6,98,370872,11724,19
6,121,176661,10565,12
7,12,104672,11432,11
7,27,556236,22946,12
7,40,517098,23305,19
7,104,303271,25551,14
8,12,21459,2229,15
8,15,114660,10775,14
8,20,377665,11702,18
8,41,410619,22541,19
9,11,260611,11716,16
9,17,93044,11633,14
10,12,399352,125504,20
10,14,187079,11121,14
10,39,336813,10813,18
11,14,66026,72735,12
11,92,147112,38381,13
12,11,35728,5327,18
12,15,488958,22149,13
13,15,302140,108540,21
13,40,242006,11246,15
13,41,90493,2894,145
14,10,54891,10902,12
14,15,613149,36082,18
14,16,477055,180100,24
14,21,367867,11433,14
14,40,63140,6631,13
14,41,22953,5282,23
15,40,16234,2206,65
15,46,349215,11287,39
15,113,148212,11771,21
16,101,548345,25919,13
17,10,83622,11648,16
17,86,154171,16367,15
17,106,362755,37464,15
18,9,59274,11812,26
18,12,184675,10864,19
18,86,83616,21726,15
18,115,27954,8262,15
19,10,61126,17795,46
19,16,240300,15557,44
19,115,430456,38002,16
20,88,53820,22210,18
20,116,531999,20305,15
21,10,60930,11259,17
21,97,658430,39905,17
21,98,133079,17382,36
22,22,184482,155652,13
23,14,170893,35555,23
23,21,490354,40607,14
23,100,321965,21954,16
23,118,297466,409180,40
24,9,238278,17097,16
24,15,372873,97412,24
24,52,221824,7624,18
24,88,143942,37213,12
24,103,79430,20729,20
24,105,498703,22401,13
25,10,407487,35634,15
26,3,39653,11632,21
26,47,87965,9262,38
26,71,77812,9497,19
26,92,701950,40025,13
26,100,531530,21176,19
27,7,189751,11009,14
27,9,448053,21169,14
27,46,110302,119306,15
27,64,552303,22407,9
28,69,85648,35469,14
30,69,24960,3378,19
30,70,150513,3887,15
30,109,18125,310,859
31,77,370594,11310,18
32,39,306627,186241,15
32,122,330805,11046,16
33,68,88000,10777,15
33,97,587373,26827,21
34,9,98008,10645,16
34,109,310777,11309,17
35,17,425320,234323,15
36,20,3204,4054,671
36,93,88289,9897,26
36,110,112077,10764,14
37,14,62612,21483,17
37,59,195151,8947,46
37,94,537805,22080,13
37,124,354164,11620,14
38,20,297261,154122,13
38,93,177079,8973,14
38,111,538393,22961,20
39,53,46411,9090,14
39,62,67572,6363,21
40,63,328559,4830,15
41,6,403,7564,20
41,111,420333,21906,15
42,9,572261,23336,17
42,12,117088,10495,23
43,0,346368,11228,15
43,1,203658,85964,12
43,9,265140,7955,15
43,12,13292,6718,14
43,58,418923,19222,21
44,3,72039,19485,17
44,6,212127,11412,12
44,59,306304,178686,26
45,1,215279,10184,15
45,3,54186,11178,16
45,6,111301,11313,15
45,7,137853,14321,15
45,9,20844,6538,16
45,105,309892,158715,28
46,4,140354,11504,14
46,5,184954,14689,10
46,6,370000,11678,17
46,9,89855,10439,19
46,93,366640,11246,13
46,106,504730,198011,24
47,5,131539,9961,17
47,46,310312,10012,14
48,4,96478,24574,4
48,42,38439,3929,613
49,5,98200,12399,23
50,4,77916,22745,7
50,5,67995,16903,18
51,23,63973,9877,42
51,24,55459,4975,49
52,42,135666,11447,14
52,50,258840,11832,19
52,70,58203,40035,27
54,7,382652,188006,24
54,14,67234,95689,24
54,42,147604,15244,15
54,44,192121,50348,17
54,53,312126,171339,25
54,55,380406,104437,20
55,9,25475,10433,17
55,22,263988,11531,16
55,45,62230,11404,16
55,46,25716,11536,17
55,49,307356,179092,13
56,18,341813,154771,25
56,44,63563,8507,16
57,15,264483,8672,17
57,17,515552,19651,19
57,45,80827,11221,16
57,55,29652,11399,14
58,93,488788,197335,25
58,103,123091,92698,25
59,41,143320,10794,20
59,52,204459,154009,27
60,10,117170,4586,56
60,15,379875,31036,14
60,17,277097,11194,16
61,10,90653,23632,14
61,15,356806,10513,17
61,49,37035,11426,16
61,107,376223,168777,24
62,12,190201,10593,14
62,23,102220,57894,17
63,16,75980,11630,13
63,20,366771,11313,19
63,64,521433,210877,22
64,11,259469,11137,9
64,14,181596,8600,15
64,73,427840,137832,23
65,39,82076,78954,27
65,42,34960,4947,16
65,45,103521,9674,15
66,42,575316,21480,16
67,30,23059,10499,39
67,50,113267,56522,15
67,68,305975,78911,26
68,41,52471,86726,15
68,100,107462,66280,28
69,42,632532,37717,14
69,75,86568,8492,52
70,61,71372,65281,25
70,97,306320,201780,15
70,107,309402,161070,26
71,23,102739,3186,65
71,94,164042,118168,16
72,5,175180,24017,11
72,27,590448,182846,15
74,12,285673,111309,25
76,1,106478,22932,13
76,27,256748,9976,12
77,111,515795,183585,12
78,92,339805,216319,28
80,6,354322,12952,14
80,11,475282,22429,16
81,14,77747,11089,15
81,33,165855,11047,15
81,36,15113,5819,26
82,35,331930,10893,17
85,24,87069,20453,14
87,6,364314,12129,16
90,4,574701,72245,12
93,9,97548,96401,17
93,56,113759,39660,27
94,22,333226,11376,15
96,41,27604,62523,37
97,50,496454,200393,26
98,18,88001,20649,12
98,32,334696,11638,16
99,16,333453,21484,16
99,21,252926,11400,21
99,30,113507,10831,13
100,10,549822,21049,13
100,32,120593,11696,18
101,33,378607,11816,16
102,35,232009,11197,13
102,46,412357,176111,25
102,81,14770,882,31
102,83,7466,3482,669
104,12,35138,45089,55
104,14,74667,71419,54
104,36,107528,11247,15
105,4,53197,4862,16
105,33,77748,11316,16
105,40,142448,87168,29
106,0,36115,11409,16
106,4,359344,11201,17
106,30,17931,3703,29
106,42,121227,12812,44
106,62,99942,10658,38
106,69,619082,160318,13
107,4,75778,11270,20
107,7,47991,10553,14
107,29,72014,20568,14
107,46,88880,8639,39
107,75,48752,11305,41
108,1,38481,11269,16
108,9,258311,14804,16
108,10,554138,22145,14
108,24,180391,16360,17
108,33,212715,8529,21
108,58,4833,454,52
109,4,376188,11846,16
109,5,111892,10656,17
109,7,202836,9121,18
109,9,430107,25513,14
109,10,78,26,14
109,12,343832,29158,15
109,24,183275,9510,14
109,33,201908,21113,16
110,3,346676,16249,17
110,4,388140,23671,13
110,5,448074,36634,15
110,6,372811,23368,16
110,7,363700,18475,15
110,9,235265,10781,14
110,41,130474,11012,18
111,3,380217,24802,15
111,4,292918,11541,14
111,6,243716,15531,13
111,7,103128,16783,12
111,10,274907,35754,11
111,11,102428,14427,14
111,17,156603,11012,16
111,18,261207,17508,17
111,22,61517,7141,16
111,33,489937,22152,15
111,34,431550,21903,13
112,3,363726,11298,14
112,5,201267,15563,9
112,6,294813,16046,23
112,9,242818,10961,13
112,10,339145,11445,16
112,12,459139,38348,16
112,22,76855,11390,14
112,26,369191,11446,17
112,29,71049,10116,17
112,33,204515,10421,14
113,4,355469,12104,17
113,5,17789,5616,20
113,7,86212,10474,22
113,9,200505,11097,15
113,10,401200,27124,16
113,11,95529,9697,25
113,14,262632,28159,16
113,27,275791,13332,21
113,30,367917,11514,18
114,0,329036,7800,15
114,4,305394,10771,18
114,5,330287,11004,19
114,6,293058,18031,19
114,7,189538,12695,18
114,9,333038,24925,16
114,11,65911,7005,15
114,15,194680,14052,14
114,27,162102,15731,23
114,28,181890,11114,17
114,32,102825,21866,15
115,4,43698,7956,13
115,6,146366,11760,15
115,7,321153,15088,16
115,10,289858,15043,14
115,22,106892,11322,15
115,26,323716,17049,15
115,27,172118,9279,22
115,30,74730,10951,16
116,6,423374,15046,14
116,9,317711,13798,15
116,10,190411,13046,17
116,12,364386,10853,15
116,14,215251,10902,14
116,17,282351,11642,89
116,18,235120,17515,19
116,20,311803,18393,33
116,21,291239,11267,21
116,28,371459,10786,15
116,33,245103,35347,17
117,4,45641,17541,3
117,5,361243,17703,17
117,7,245863,11518,17
117,9,242332,15278,15
117,11,324834,11329,14
117,14,127421,11890,16
117,15,177179,12439,16
117,16,76465,11727,22
117,17,260992,12800,14
117,20,249831,16020,34
117,21,132355,20897,16
117,28,211513,14953,14
117,30,509736,24228,16
117,67,30350,4579,619
118,0,571734,22181,14
118,7,161759,11116,15
118,10,184644,15880,15
118,11,257489,13983,16
118,12,213198,17243,20
118,16,96387,11492,16
118,18,234636,9453,15
118,20,39037,11054,15
118,29,246542,8826,25
118,30,209030,16333,14
118,32,186556,18877,15
118,34,225709,16083,14
119,4,184032,11018,16
119,5,23351,10624,16
119,10,84731,11359,15
119,14,367687,11130,15
119,27,242151,11083,15
119,29,261672,19908,14
119,30,207827,14130,15
119,41,365457,11466,17
119,52,142141,8497,54
120,3,195283,9506,17
120,6,180763,7678,36
120,16,254279,10514,16
120,17,166413,9548,41
120,26,136472,16438,17
120,28,744062,40115,20
120,33,234634,10963,16
120,45,144399,10635,18
121,4,367044,10657,11
121,7,318567,20513,18
121,9,379207,19879,14
121,32,332281,22161,23
121,46,289846,11612,14
122,6,68852,29942,12
122,7,80679,84276,19
122,9,4229,4687,11
122,33,250184,196,19
123,18,203297,11688,16
123,22,365589,10318,15
124,20,135254,11644,17
124,26,303416,16660,14
124,28,92684,11473,16
124,36,373487,2124,21
124,55,377284,11386,19
124,79,4328,23861,15
125,7,19927,21564,5
125,11,27567,9682,39
125,41,496911,21370,14
125,44,332262,10907,18
125,85,339365,12136,14
126,3,26502,11624,17
126,7,77446,91922,3
126,9,186645,13625,28
126,10,78126,58367,5
126,33,68776,11661,14
126,64,176160,21700,14
126,76,43902,3280,45
126,91,95527,98149,15
127,5,39326,26159,14
