x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
0,0,145668,60345,12
0,1,199209,28516,14
0,3,191739,21771,12
0,4,332185,34649,12
0,7,243803,30201,13
0,8,245291,77683,10
0,11,91364,37845,4
0,14,4177,410,43
0,15,26016,5697,19
0,17,18559,18648,12
0,61,25868,20504,12
0,64,319698,35763,14
0,65,420286,29975,16
0,67,373054,36170,14
0,68,373433,29529,14
0,74,92725,92755,5
0,76,356956,333276,6
0,78,280822,159531,12
0,79,435898,47621,14
0,81,333407,32852,21
0,83,394168,45537,11
0,89,58211,22144,20
0,99,229219,34949,10
0,124,151234,9796,49
1,0,114445,17412,14
1,1,153521,103393,10
1,2,205935,22228,11
1,3,326076,31913,12
1,4,94700,74581,11
1,6,232991,29454,13
1,7,270851,60323,9
1,8,239491,147412,8
1,9,237580,80441,13
1,10,234868,131774,12
1,11,146777,119238,8
1,13,260544,227939,6
1,14,112284,11379,9
1,17,244558,49402,11
1,21,317482,134309,8
1,23,100696,6313,49
1,55,125734,28734,18
1,62,24943,2596,17
1,71,91060,22725,21
1,74,412829,374013,9
1,77,257328,124828,13
1,80,346098,32788,11
1,81,191565,27742,13
1,109,116153,25185,20
2,0,186438,36459,15
2,2,24492,1924,16
2,3,303630,165383,8
2,6,193811,38460,12
2,7,261508,139345,10
2,9,209826,133474,8
2,10,231893,22759,13
2,13,462317,299206,7
2,14,489528,430150,4
2,17,334620,255758,7
2,21,391938,195124,33
2,23,297215,265815,30
2,54,43434,22832,21
2,55,317221,38213,17
2,64,85326,29761,20
2,68,38595,13847,17
2,70,496920,36748,12
2,71,321771,31512,13
2,72,70563,20291,37
2,74,210837,149665,5
2,76,302477,208911,8
2,77,357399,80924,14
2,79,54239,10771,18
2,80,398938,34311,13
2,83,263199,34653,15
2,100,69822,28214,13
2,102,218136,215243,12
2,118,49452,10272,53
2,122,27668,7640,30
2,126,17888,3150,63
3,1,263177,32196,19
3,4,228988,42084,11
3,6,248269,30953,11
3,8,302659,92907,10
3,9,299102,172651,12
3,13,345629,249446,5
3,15,306481,230139,6
3,16,274561,251123,7
3,22,573952,218155,7
3,66,72717,10793,7
3,70,161279,29515,26
3,76,329383,105012,9
3,77,285137,33541,14
3,78,319280,22106,17
3,79,248197,32086,14
3,80,330780,38162,13
3,81,27256,4772,21
3,83,401379,76352,10
3,84,423146,36280,15
3,92,186638,54000,6
3,122,26039,4904,27
4,0,177531,144892,13
4,1,36770,5897,43
4,3,276636,36961,13
4,4,283710,290126,22
4,7,315771,153340,8
4,8,288276,208725,7
4,10,211991,61114,10
4,14,315906,271792,8
4,15,364579,285751,5
4,17,376288,220687,7
4,19,505873,596929,4
4,22,357751,367064,5
4,25,375177,345015,5
4,26,381875,424486,6
4,71,273569,23618,14
4,74,124200,31282,14
4,78,254584,30688,16
4,79,154379,23547,14
4,81,358419,32021,15
4,83,236064,27825,14
4,103,233762,212757,8
5,0,236461,183932,8
5,1,48378,4237,36
5,2,329276,55986,10
5,3,71642,84254,3
5,4,50022,12506,12
5,6,272670,24783,10
5,7,49778,10075,8
5,8,68649,17336,7
5,9,437887,483897,4
5,10,489005,59132,10
5,11,281076,142963,8
5,14,21668,5589,17
5,15,193836,99757,11
5,16,379539,265050,6
5,17,263680,116373,8
5,19,279549,145173,5
5,23,373121,290291,7
5,25,307078,243295,7
5,26,272806,251137,7
5,74,242625,31187,12
5,77,221910,28235,18
5,78,216349,34487,15
5,80,425983,36240,14
5,81,99065,21379,14
5,91,280014,282992,5
5,92,42629,66625,15
5,98,52199,2897,40
5,99,53508,5507,44
5,102,105623,646,13
5,103,28593,5372,25
5,112,404939,36790,18
6,3,264429,21139,12
6,6,141567,170968,4
6,7,457051,404135,4
6,10,131062,29880,9
6,16,450040,329390,10
6,17,314349,105791,17
6,20,205188,208643,4
6,23,550291,503544,4
6,25,381382,343314,5
6,27,346978,24848,14
6,28,93119,28753,31
6,45,291464,228387,13
6,46,166121,170370,9
6,55,497925,30795,16
6,76,427573,32016,13
6,77,357784,31541,13
6,83,271417,37508,13
6,84,335340,43186,13
6,86,462848,50527,13
6,91,94449,122168,7
6,100,27741,8119,11
6,111,422969,47091,16
6,112,225280,23461,15
7,2,27785,5285,22
7,8,75490,100225,3
7,9,86296,112319,4
7,11,16142,23226,4
7,15,297595,151824,8
7,16,164156,50655,8
7,19,236226,199706,5
7,20,379346,199275,10
7,27,264031,254372,4
7,29,178826,181859,10
7,77,335697,32212,13
7,78,493355,15674,14
7,81,190923,25929,17
7,83,278404,36371,13
7,84,328080,42357,15
7,85,230156,22090,15
7,86,35659,20445,15
7,87,282843,20649,14
7,89,240560,26471,12
7,92,242064,301420,10
7,93,145433,48125,22
7,94,86634,147529,18
7,111,375086,24097,18
8,10,226913,47894,20
8,15,65954,25271,14
8,17,116953,26636,10
