x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices
4,82,247583,262980,9,45,3
5,85,96512,106903,7,1,1
6,29,270853,278046,8,1,1
8,110,81340,84295,6,8,2
15,70,51838,53612,6,1,1
24,78,278554,273423,7,4,1
26,62,185990,196200,6,2,2
29,29,97672,97180,4,7,2
29,61,146043,160295,7,1,1
30,7,35264,37738,25,1,1
30,29,72682,56828,6,1,1
34,29,50351,53108,5,1,1
37,69,50015,9584,21,2,1
39,54,73198,79261,4,5,1
41,46,52880,82268,6,1,1
41,50,6332,15176,14,1,1
42,45,29455,13974,18,3,1
44,107,80791,58828,6,1,1
47,109,90995,94571,7,1,1
49,31,236452,335859,6,19,2
50,80,3035,741,40,1,1
50,127,145332,96587,7,1,1
55,94,18421,13842,14,2,2
55,110,44866,70477,7,3,2
56,3,325347,267388,7,2,1
56,98,153666,70620,24,3,1
57,12,295423,291406,6,1,1
57,60,5035,690,33,1,1
57,97,145097,144441,17,6,2
57,98,91026,68847,44,10,2
58,99,21537,24499,7,1,1
58,100,11217,6096,10,1,1
58,107,32169,24587,5,2,1
58,108,26997,36556,5,1,1
59,103,27132,43049,16,4,1
59,107,42075,34709,20,2,2
60,61,3683,709,47,1,1
60,103,91779,92636,5,1,1
60,108,70214,70422,10,5,4
60,115,7331,4893,5,2,1
61,104,95114,77173,11,4,1
61,110,26732,30685,7,1,1
61,113,37412,45333,7,11,1
61,115,6208,1275,11,1,1
61,116,31702,5913,5,1,1
62,109,248133,236569,5,3,3
62,111,26922,10246,7,1,1
62,112,26686,14682,7,5,1
63,14,197576,278369,6,1,1
63,111,183269,165789,6,18,8
63,112,195570,174298,7,2,1
63,113,22620,28249,5,1,1
63,115,104624,117936,6,3,3
63,118,6414,4848,6,1,1
64,106,36408,35245,6,1,1
64,107,45634,58342,7,3,1
64,109,37517,42320,8,1,1
64,112,29827,35045,6,1,1
64,113,107336,100216,9,44,4
64,116,146773,133693,9,10,7
65,100,64936,67961,5,44,1
65,108,3249,7123,28,1,1
65,109,5839,9889,28,4,1
65,114,278008,217909,6,3,3
65,116,97237,105644,6,16,8
66,6,337925,264815,5,1,1
66,115,42138,45935,6,3,2
67,7,124553,121040,5,29,1
67,79,5205,836,33,1,1
67,105,8252,10237,57,9,1
67,109,15975,9803,32,2,2
68,53,7609,1245,36,1,1
68,80,4993,775,31,2,1
68,112,9616,21305,52,5,1
69,10,4613,3545,6,2,1
69,109,10487,10204,192,7,1
70,8,31495,41337,5,1,1
70,10,57220,73247,5,30,3
70,18,53411,50328,5,1,1
70,126,162397,184427,7,1,1
71,10,88950,93056,5,1,1
71,11,24043,38377,5,1,1
71,94,17138,48100,5,3,1
71,95,186980,177768,5,4,1
72,10,63756,56214,7,28,1
72,12,80977,77365,9,3,1
73,23,214102,201144,4,2,1
74,14,75169,78986,5,1,1
74,94,30458,41061,5,1,1
75,66,16223,702,31,3,1
76,94,67529,122960,5,1,1
78,66,8646,838,36,1,1
80,23,158758,160231,6,3,1
80,27,170481,163606,5,2,2
80,32,19125,20417,4,5,1
82,28,114918,152699,5,5,3
82,29,39650,34150,4,3,1
82,30,43508,18409,5,1,1
83,29,112872,115485,7,9,2
83,30,29550,54310,8,2,1
84,24,180342,244020,5,1,1
84,27,39016,42769,4,2,1
84,28,54493,94007,5,1,1
84,29,190772,205506,5,7,4
84,30,43260,55099,9,7,3
85,31,68312,90602,5,1,1
85,71,1632,2341,245,1,1
86,24,298836,294905,8,1,1
86,30,355083,310370,6,1,1
87,91,165353,92673,9,1,1
87,110,4721,740,30,1,1
90,89,208554,221734,7,3,1
91,91,10376,9079,6,1,1
93,27,10099,10253,84,1,1
94,113,12236,10790,87,1,1
95,30,78675,98559,8,3,1
95,31,38303,41843,16,1,1
95,32,390873,165629,8,2,1
95,66,16154,598,186,3,1
96,78,84745,54961,8,1,1
101,19,338804,172197,27,2,1
101,21,15127,8181,8,1,1
101,22,25283,34589,7,1,1
101,25,393850,105319,8,2,1
102,20,94056,101251,9,2,2
102,88,94695,37047,9,1,1
104,23,428708,77819,9,1,1
105,22,4311,7614,13,1,1
108,11,185781,131481,6,3,1
109,9,75107,57668,6,1,1
111,59,95861,114492,9,1,1
112,2,98042,121367,5,2,1
113,51,5481,607,36,4,1
116,17,8471,785,32,1,1
118,4,6129,720,38,1,1
122,57,1219,596,74,1,1
122,87,15698,10696,32,6,1
