x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
16,26,7805,5256,25
16,127,23099,23871,9
19,52,20530,3691,27
22,125,9777,14040,29
23,124,48810,46695,16
23,125,16228,29752,235
23,127,29476,23637,15
24,124,44684,31806,15
24,125,1853,849,37
26,127,105891,115091,16
36,29,7346,4752,44
43,12,23014,17486,38
62,43,19359,8682,36
63,26,18474,4486,45
71,17,27323,13169,39
74,24,15714,3004,35
78,115,9821,2757,783
79,26,11648,6421,18
87,30,12122,3931,96
89,12,21689,428,33
95,64,66585,74245,18
98,15,23466,2760,43
98,69,23707,22874,20
98,70,52259,59367,14
99,72,24390,23534,25
100,69,58185,66374,16
100,70,40813,56288,19
100,72,30510,27505,31
101,69,55044,51112,13
101,70,26233,31131,17
101,72,86871,86219,18
101,73,10006,5060,12
103,73,22898,5693,23
104,69,9849,5028,12
107,40,7694,8934,48
113,23,19897,4211,31
114,64,5136,5327,18
123,43,21583,9845,23
