x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices
0,17,197093,43511,17,4,1
0,106,310842,52010,12,1,1
2,100,16276,27943,40,1,1
3,34,10516,1449,30,1,1
3,111,48538,62026,8,5,1
4,110,37011,42769,11,1,1
5,112,77945,93574,12,1,1
6,80,7828,8582,37,7,1
6,94,140535,66481,6,3,2
6,111,94423,39557,10,6,1
7,101,16796,18183,35,1,1
7,109,39116,44312,9,1,1
7,112,38878,45754,8,1,1
8,109,106162,40704,56,4,3
9,108,24498,9047,12,1,1
10,109,17823,10644,42,1,1
10,112,8660,7069,35,5,1
11,5,20384,10940,29,2,1
11,110,37676,34753,10,5,3
12,110,8200,791,28,1,1
12,111,47395,14512,14,3,3
13,45,46470,9901,15,1,1
13,111,26983,28125,10,1,1
14,35,5881,3150,6,1,1
14,84,71295,13812,4,8,1
14,113,135321,44173,9,1,1
15,33,91390,49803,9,1,1
15,42,11304,2810,15,1,1
15,80,104538,32384,4,3,2
15,84,111769,20644,2,1,1
15,111,259100,177378,8,1,1
17,6,18601,3790,7,5,1
17,78,98776,10046,2,1,1
18,31,4740,4398,14,2,1
18,32,17979,37041,9,2,1
20,74,63263,88876,2,2,1
22,91,3799,936,25,1,1
22,102,62280,2914,29,1,1
24,28,72889,100532,8,1,1
24,44,309065,103689,15,3,1
25,16,21998,4314,14,1,1
25,91,76350,47938,19,26,1
28,64,209743,102962,11,2,1
29,122,133247,40297,8,3,1
31,115,185455,86787,9,2,1
32,64,279890,43599,9,1,1
34,6,280041,52216,6,1,1
34,36,22224,4645,17,1,1
34,40,14572,4001,36,3,2
35,20,124845,94431,7,21,9
35,22,438222,293731,9,1,1
35,30,11238,3841,8,1,1
36,18,9395,1831,11,1,1
36,19,66710,56484,7,1,1
36,24,12040,4747,11,1,1
36,29,99770,6191,10,1,1
37,14,69302,67885,7,3,2
37,20,228244,67864,3,10,4
37,23,21443,25059,3,3,1
38,19,740370,205069,9,1,1
38,20,130199,120284,8,27,2
38,23,718464,207465,8,1,1
38,72,352262,122711,3,1,1
38,83,441225,117547,7,6,1
39,25,88161,76028,10,3,3
40,42,54086,6716,36,2,1
41,59,12089,17972,27,1,1
42,45,48490,7329,37,1,1
42,59,60255,44440,17,6,2
42,60,78666,7642,36,1,1
46,88,45840,35894,8,1,1
47,35,12987,2817,18,44,2
47,49,21923,4574,6,1,1
48,69,22872,1592,29,1,1
49,30,149428,65477,4,2,1
52,31,297462,98065,4,2,1
52,53,48870,6594,35,5,1
52,84,7119,7273,12,2,1
52,120,94008,48144,2,1,1
52,121,34303,11291,3,2,1
53,120,174012,44025,7,4,3
55,7,264968,104177,6,1,1
55,33,613021,103652,6,1,1
56,31,301452,3723,9,1,1
56,58,12880,1576,9,1,1
56,95,169831,29352,9,3,2
57,84,222380,39102,8,1,1
57,112,64547,9748,2,2,1
58,11,148021,101930,8,3,1
59,47,170025,74566,6,5,2
59,111,84676,9731,5,3,1
61,60,266129,52088,6,1,1
61,92,307248,114746,7,4,1
62,79,28982,36033,8,1,1
63,13,195091,78700,23,11,4
64,11,211295,81807,6,7,1
64,13,21404,4773,11,1,1
64,54,222724,74949,8,9,2
65,88,468795,118924,10,1,1
66,11,1080,65328,7,1,1
67,46,3975,2354,39,1,1
67,104,37643,10453,2,1,1
67,105,27242,11504,7,5,4
68,99,14605,9867,11,1,1
68,105,48112,29522,3,3,1
68,106,283485,93652,2,1,1
69,11,90503,51622,7,2,1
69,56,260447,95466,11,4,2
69,100,102387,51859,4,2,1
69,104,120326,28916,2,6,1
69,108,23030,9815,3,1,1
70,14,44020,50467,14,1,1
70,38,10272,627,28,1,1
70,56,10231,8100,23,2,2
71,14,93515,27665,28,5,2
71,52,23391,57156,12,13,1
71,55,183993,40800,1,7,1
72,55,7746,43953,3,1,1
73,49,221087,41861,11,3,1
73,94,198409,116994,7,1,1
74,48,343215,48106,2,1,1
