x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices
1,15,89280,89843,19,1,1
4,56,17849,26968,19,2,2
4,88,10705,2076,27,3,1
5,8,414288,273603,14,4,2
6,12,26908,8116,8,1,1
7,11,192833,258196,6,1,1
7,12,426512,361900,19,1,1
8,31,8154,687,27,2,1
9,31,4264,545,34,1,1
12,0,443161,407851,21,2,1
12,25,3709,658,31,3,2
12,26,6454,519,44,1,1
13,1,4388,487,57,1,1
13,93,236724,232070,21,2,1
13,95,44487,51961,19,1,1
14,93,371542,41865,19,1,1
16,26,38850,8476,24,1,1
17,77,2662,649,47,3,2
20,100,11851,741,25,1,1
21,51,177912,174176,19,6,1
23,51,140504,111035,21,1,1
24,99,9209,7073,24,2,1
30,57,187543,90388,21,1,1
33,92,305135,31130,7,1,1
34,34,52426,333352,21,1,1
39,110,78058,22992,24,1,1
39,117,8261,590,167,2,1
40,68,2669,631,82,1,1
40,76,62688,15410,34,2,1
40,102,36405,45911,19,1,1
41,67,374125,462339,19,1,1
42,93,245137,217613,6,2,2
42,94,468808,133766,6,4,1
43,6,28926,84244,20,8,1
43,105,309709,300352,21,1,1
45,89,13496,704,28,1,1
45,91,248623,128391,21,2,2
46,15,518080,421349,20,4,2
46,16,305676,245591,20,6,1
46,78,39610,39578,20,1,1
46,100,320394,252317,20,1,1
47,13,30346,26877,24,1,1
47,58,247466,238316,8,4,1
47,60,153101,99754,7,2,2
47,91,157192,212691,18,1,1
47,95,4434,293,35,1,1
47,99,32820,19108,58,1,1
48,94,631694,485417,19,1,1
49,87,10384,656,28,8,1
49,88,178791,263614,21,20,4
49,89,237383,206225,18,7,4
49,90,19240,3231,19,2,2
49,92,64595,92775,27,28,5
50,87,742940,625795,10,1,1
50,90,46871,43517,24,3,1
50,91,285458,289425,22,1,1
51,91,301606,260925,12,3,2
52,110,39017,38872,14,6,1
53,91,82658,60684,28,2,1
55,104,74820,68937,8,7,2
58,6,327743,325596,15,3,2
64,31,23841,87348,22,1,1
67,93,253411,330384,20,2,1
67,116,37052,1750,23,1,1
68,105,23748,12670,27,1,1
70,18,703157,666276,20,1,1
76,75,203989,227678,21,5,2
76,78,270833,278059,21,1,1
76,79,60780,203173,19,1,1
78,78,318705,378296,21,1,1
79,25,36528,9627,28,1,1
79,45,28622,20055,16,2,1
79,79,496224,456238,12,7,1
85,105,40605,5623,21,2,2
90,99,80319,15725,25,1,1
91,73,243664,233591,20,2,2
92,72,182610,154923,21,30,1
93,73,303346,126823,14,4,2
94,71,259759,176553,21,3,2
94,72,142004,238023,19,7,1
94,73,444230,300915,10,16,3
95,72,154278,166818,20,8,2
96,72,42479,44424,20,1,1
100,111,11257,933,26,3,1
100,113,13343,622,37,3,2
104,35,4280,613,37,1,1
108,59,15295,790,25,1,1
109,24,5356,467,326,1,1
109,25,7254,688,31,4,1
109,60,58113,18233,35,1,1
112,123,494318,281207,13,1,1
114,106,9194,6044,25,1,1
115,46,455057,210923,26,2,1
116,4,610600,437500,23,1,1
122,2,103524,107411,24,1,1
124,67,20907,809,28,2,2
127,18,13850,15917,36,3,1
127,80,44198,42223,42,1,1
127,102,160598,146259,19,11,1
