x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
80,3,7725,7641,16
81,0,47653,56283,10
81,2,150125,143165,13
81,6,51070,42894,20
81,8,209965,199622,17
81,22,103215,112350,17
82,3,161329,211855,13
82,5,70578,77096,13
82,10,33294,35542,30
82,11,133189,160095,12
82,19,56970,50680,14
82,21,81228,100621,13
83,3,48369,59700,14
83,5,89641,114928,13
83,6,86000,94628,14
83,8,66075,70942,59
83,11,73467,66279,21
83,19,31987,47595,21
83,21,10540,12647,76
83,22,11204,14727,48
84,2,141520,152687,14
84,6,132692,123498,572
84,14,187928,231950,10
85,3,36660,22514,29
85,5,111686,117517,13
85,10,15992,25790,17
85,11,169662,114712,20
85,13,66268,60544,18
86,3,213900,162111,16
86,6,3612,499,36
86,13,4834,5310,18
88,8,9436,8223,33
89,11,7911,2351,22
89,13,4420,4391,24
90,8,3442,3849,21
91,3,7794,3244,21
92,5,4441,4201,49
92,6,23792,28315,20
93,5,8159,9392,13
94,3,30997,33993,153
94,24,43255,6834,572
95,3,8838,8085,20
96,3,5521,9520,27
96,24,214,2841,602
