x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
2,40,7600,3721,19
2,42,16953,15760,23
3,21,212207,19719,54
4,123,9234,4190,7
6,110,21953,21557,45
6,112,7392,3851,57
7,118,1084,2591,53
7,123,4750,1901,27
11,9,29185,12542,58
11,32,9619,1647,712
16,39,8255,4723,13
18,37,8345,5163,17
18,78,1265,574,27
23,74,3957,4780,15
24,75,14145,2113,606
24,77,2558,936,131
24,117,7808,1358,30
24,118,6098,562,47
35,69,1595,1574,532
35,70,6717,3810,29
37,44,3800,750,53
40,32,1844,1550,9
40,77,7280,4214,11
46,37,197448,195976,4
47,36,19110,6783,3
53,44,15351,3882,615
55,10,27731,39237,9
55,12,19538,10509,12
57,13,52170,38300,4
60,13,22695,32504,6
61,26,9465,10675,47
64,110,14251,7171,15
64,120,885,1644,697
67,18,8415,6767,17
70,4,13195,2029,628
71,29,22928,12511,5
74,121,12447,4765,20
75,32,16037,6131,12
75,37,9618,10329,24
75,39,69339,53988,9
76,36,179520,139861,3
76,37,79057,52089,3
76,39,337068,296082,4
76,66,38562,19694,5
77,29,11346,11243,18
77,34,77715,73139,3
78,36,142975,117156,5
78,39,87373,41487,2
79,83,17176,13679,4
80,72,38491,57745,6
82,32,26052,6860,31
82,34,2055,1910,72
82,69,1028,110,110
83,21,40986,14900,32
83,23,8996,6801,11
84,36,7388,4543,15
84,105,17396,8526,9
87,31,48469,10103,20
89,25,6662,1218,53
90,118,41685,42391,9
91,17,15582,2988,630
92,17,29915,11250,13
94,17,57223,32840,13
95,15,70142,39576,21
95,107,7021,4916,8
96,2,55890,47455,5
97,13,48439,48694,13
97,15,18041,9696,19
98,12,29181,16467,19
98,17,45044,19745,16
98,18,19549,11383,17
100,4,52461,104921,9
100,10,91307,99949,5
100,12,97550,100302,6
100,17,29777,12944,22
101,10,44886,35159,7
101,12,37271,59274,18
101,15,20846,15731,19
101,17,16921,11160,18
104,17,25066,15340,18
104,36,54290,36516,6
105,1,68941,58996,5
106,2,54902,76175,7
106,10,3090,6259,11
106,23,20636,20697,20
107,15,39704,16500,22
107,17,16487,16507,18
108,4,6103,5453,11
108,23,32109,23719,17
110,97,14793,20619,33
111,2,89131,91814,6
113,31,29979,18354,10
113,126,13838,2122,5
115,5,39761,20649,11
116,10,19193,15242,10
116,15,29472,18930,10
118,7,15940,13665,11
119,32,84,51,648
121,86,13346,5143,9
122,25,971,3049,640
