x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
0,21,9491,3144,7
0,23,63025,22841,13
0,24,33557,24751,6
0,25,13809,3411,10
0,26,3235,437,66
0,44,23495,4614,9
0,114,30509,4421,20
0,115,42516,4847,19
0,120,45791,4740,24
0,121,55133,6091,28
0,122,61884,21808,17
0,124,21642,10601,59
1,20,10306,627,31
1,25,22263,6412,10
1,26,36958,17439,10
1,35,20036,1029,28
1,42,17099,947,28
1,44,24301,4545,7
1,119,17025,2489,21
2,19,4308,438,28
2,20,3289,423,48
2,23,11531,9756,13
2,24,19392,14912,11
2,33,39590,32901,27
2,37,35535,5795,19
2,39,32783,9666,19
2,47,39604,29462,18
2,119,2802,269,120
3,5,23561,1432,19
3,24,21644,27872,8
3,25,45180,15625,10
3,26,98422,86244,8
3,28,96895,95036,4
3,33,52110,7196,8
3,34,13809,4492,13
3,35,5190,2231,13
3,36,31953,3615,9
3,37,27535,2751,13
3,39,27988,23382,6
4,25,61887,40826,8
4,26,46143,12644,11
4,36,31108,7297,9
4,37,77,55078,4
5,26,97492,60951,8
5,29,145651,95054,4
5,30,54985,47067,6
5,31,54667,18042,11
5,33,25904,3927,7
5,34,54698,23559,12
5,35,32410,14293,13
6,24,60807,27846,9
6,25,102578,64596,11
6,30,97802,38200,9
6,31,50004,41515,8
6,33,44784,41948,11
6,34,27448,25343,25
6,35,15406,19225,13
6,36,32679,29289,86
6,37,5842,377,29
7,7,18507,775,38
7,24,48186,28390,25
7,25,60259,26125,13
7,26,71860,44056,7
7,28,147592,55096,10
7,29,47844,22911,10
7,34,51508,47237,17
7,35,11760,1504,17
7,36,39403,8146,9
7,37,44897,12880,26
7,39,70537,115067,13
8,24,46932,14798,12
8,25,77346,56907,9
8,26,77218,103383,5
8,28,91004,76295,57
8,29,32621,22054,8
8,31,89400,12114,25
8,37,2744,582,30
8,39,92484,93556,5
8,45,61061,92953,20
8,57,54079,20444,61
8,95,7504,696,65
9,26,110133,89142,8
9,36,39073,39603,5
9,47,4541,898,27
10,24,33842,19541,13
10,25,59215,43337,6
10,31,62419,62263,10
11,5,18747,876,28
11,7,12543,907,27
11,23,57888,47749,9
11,24,67343,33112,8
11,25,71876,54415,6
11,26,120342,72957,13
11,34,99013,93773,4
11,55,37448,1060,28
12,15,28654,35885,3
12,16,26263,34347,3
12,18,54037,62113,10
12,24,47017,36103,11
12,25,57611,30427,7
12,26,61984,38335,9
12,28,25315,3957,11
12,31,82803,54488,7
12,33,56039,60041,7
12,39,150852,237496,2
12,56,6254,744,29
13,2,23860,24125,9
13,5,11272,876,25
13,15,25977,27420,3
13,16,26306,34346,4
13,18,28114,30773,3
13,21,13783,2617,22
13,23,86679,31494,15
13,28,105508,93044,8
13,29,52437,20803,6
13,31,129275,173957,12
13,33,39613,42363,6
13,89,15645,935,21
14,4,12835,701,27
14,21,86591,36748,9
14,23,67157,53852,6
14,24,97347,54933,7
14,25,78064,49625,10
14,26,44748,21654,12
14,31,62533,37127,9
14,33,83225,79663,2
14,36,78944,90769,4
14,37,138146,78049,3
14,45,38895,28896,19
14,55,24417,882,17
14,58,55216,11128,96
15,7,10680,607,26
15,8,34148,28537,3
15,21,57738,51905,38
15,23,70890,64118,14
15,24,66224,54718,5
15,25,62272,41003,32
15,26,79197,41416,7
15,28,24626,91944,11
15,35,49186,82475,9
15,36,45061,23491,19
15,49,14733,1442,25
15,51,1608,868,17
15,53,28412,4619,15
16,5,9156,797,21
16,24,68656,58700,11
16,25,81317,77711,7
16,26,29894,26286,8
16,28,128258,110713,9
16,34,21727,23411,5
16,42,51644,14586,4
16,52,1322,878,42
16,53,27401,4634,14
16,61,89720,16813,82
17,7,47226,1910,22
17,20,48480,49568,6
17,21,76760,45055,10
17,23,85847,51241,9
17,28,17481,11381,21
17,33,42347,45123,10
17,34,64967,64714,7
17,35,140949,243619,8
17,47,23332,1746,24
17,50,29402,33563,27
17,61,236088,20459,73
18,4,134498,19284,81
18,8,4141,1109,60
18,13,7799,19617,3
18,20,113862,160372,4
18,21,77805,54301,13
18,23,100723,72022,7
18,24,60373,41227,9
18,25,70506,66785,8
18,26,96575,93375,4
18,34,56994,45930,6
18,49,25765,9467,19
18,50,6059,658,30
19,7,26946,1003,23
19,8,11173,739,26
19,21,87208,78668,7
19,23,124805,97419,4
19,24,46751,45660,6
19,25,53714,54475,8
19,26,57115,52694,9
19,28,74229,79563,5
19,35,80750,40667,9
19,36,32645,35922,3
19,42,67563,58174,3
19,56,15491,3260,18
19,57,7801,879,27
20,20,51827,43292,14
20,25,81801,72824,7
20,26,47221,44218,14
20,28,63893,39263,5
20,29,55779,46980,3
20,30,21459,32015,3
20,31,55517,27441,12
20,33,51772,25283,14
20,34,117924,48129,38
20,42,2630,941,25
20,55,16483,832,17
21,7,43057,29752,11
21,19,265334,222593,4
21,20,59625,55795,4
21,21,78252,58288,9
21,23,83873,65005,7
21,24,80478,54864,5
21,31,44480,32063,5
21,33,39947,4684,12
21,34,49088,16814,10
21,35,77905,63125,7
21,36,3100,947,24
21,37,14110,9705,14
21,56,4990,587,36
22,8,28246,1410,18
22,18,40949,21325,12
22,19,142038,97551,8
22,20,103431,96987,6
22,21,71597,60370,13
22,23,80429,64847,5
22,24,88926,59591,5
22,25,162611,170794,8
22,33,28237,2770,14
22,34,33699,18576,11
22,35,21699,9927,19
22,36,23898,11714,18
22,37,18162,9714,30
23,8,40555,30892,11
23,21,72081,64818,6
23,23,72334,47123,15
23,24,78933,66450,8
23,25,104016,60705,5
23,29,16743,1405,30
23,31,36910,2869,23
23,36,30795,16117,21
23,37,45240,37124,7
23,81,6173,972,30
24,5,19011,3483,16
24,7,71007,4219,9
24,18,92318,86556,6
24,19,69989,71824,5
24,20,73515,66731,6
24,25,147413,133851,11
24,26,59807,62367,10
24,29,46271,49078,33
24,31,19697,1208,32
24,33,53638,41632,12
24,34,22580,10662,26
24,35,18888,12212,22
24,45,6115,415,51
25,0,19430,70128,7
25,5,17586,4040,7
25,7,85116,4392,8
25,8,83421,22617,8
25,9,53549,33695,9
25,18,75632,66486,5
25,19,65996,63881,11
25,20,99949,108939,6
25,21,87170,80113,9
25,23,75080,54292,8
25,24,89371,60436,8
25,29,75026,49739,12
25,30,75758,30890,9
25,31,51490,35979,8
25,33,49202,28182,7
25,34,51499,14397,10
25,35,46620,22460,7
25,36,52087,31616,3
25,37,16734,2998,9
25,39,9344,2709,9
25,66,12548,729,23
26,7,28770,12973,11
26,9,26330,1764,10
26,19,55219,40938,6
26,20,82065,63208,4
26,21,69929,56621,18
26,23,85825,69238,13
26,24,57227,63836,6
26,25,42417,11889,9
26,26,68113,58391,15
26,28,43279,26129,11
26,33,57081,21351,7
26,37,6860,407,58
26,39,24061,3522,17
26,46,4286,583,37
26,66,15733,2309,13
27,9,5579,539,92
27,10,75099,55771,7
27,12,67264,7723,12
27,15,51612,43570,3
27,16,66937,47996,5
27,18,89149,68426,5
27,23,42529,37997,17
27,24,38267,22724,23
27,25,51097,27986,11
27,26,42596,19722,9
27,28,49405,32266,9
27,29,53201,25335,11
27,30,70999,49920,31
27,31,41393,36019,8
27,36,14411,3833,28
27,37,42393,18604,6
27,39,26204,9967,10
27,40,28213,2838,25
27,41,39964,44055,3
27,42,51014,46106,9
27,50,56802,28577,3
27,53,11220,599,25
28,12,31101,2584,12
28,15,39022,14861,9
28,16,61752,39059,23
28,18,78824,58879,16
28,19,80524,59797,14
28,20,65001,48185,7
28,21,134592,106208,5
28,26,72445,42315,17
28,28,60756,30018,10
28,29,68277,39225,11
28,30,64980,37556,8
28,31,36993,19155,10
28,33,45843,21702,7
28,34,44918,11095,8
28,35,74784,53393,4
28,40,36552,13997,17
28,41,61662,35955,11
28,42,59811,35137,14
28,44,59887,6826,11
28,45,24237,4834,30
28,46,6881,536,38
28,47,11320,608,30
28,56,6964,450,89
29,9,57662,48163,13
29,10,34743,3383,12
29,15,73926,48299,16
29,16,83701,60145,7
29,18,70704,55862,7
29,19,111676,85389,7
29,20,94672,75150,7
29,21,83328,85638,5
29,23,41351,35650,57
29,24,48202,20694,12
29,25,59409,35107,11
29,30,63488,42330,8
29,31,60118,30171,8
29,33,70414,30507,9
29,34,47442,20163,10
29,35,44959,45372,7
29,37,62371,6847,11
29,39,31759,15898,18
29,44,22581,3189,20
29,45,22228,30384,2
29,46,20473,3994,23
29,47,33480,32769,30
30,9,42069,39543,45
30,10,41507,25728,3
30,12,52678,27216,6
30,13,55002,14226,10
30,14,60432,37087,5
30,19,72038,61843,10
30,20,68310,64400,9
30,21,58516,35816,10
30,23,58439,28387,9
30,24,37163,10478,11
30,25,41030,20412,11
30,26,50669,4256,10
30,28,53476,26935,10
30,29,82733,53448,20
30,35,80983,31332,13
30,37,27725,3542,29
30,39,113060,39089,6
30,40,133013,132799,12
30,41,51360,8475,9
30,42,24793,5200,15
31,2,60710,23319,3
31,10,44241,6986,8
31,12,80891,32960,9
31,13,115898,86755,7
31,14,59427,38976,7
31,15,60374,30383,10
31,16,46601,31838,6
31,18,116460,122729,6
31,23,48258,61897,10
31,28,115109,61941,5
31,29,56612,35005,6
31,30,86504,54832,13
31,37,33017,29520,7
31,39,45662,32098,3
31,41,96285,94845,4
31,46,38940,36023,2
31,52,48866,30647,28
32,13,56118,53807,5
32,14,73803,73842,11
32,15,45396,32901,9
32,16,42612,33229,7
32,18,81850,73121,8
32,19,68237,46986,9
32,20,62667,56746,8
32,21,42229,18941,9
32,26,92320,69673,5
32,28,41503,31193,7
32,29,54440,4442,9
32,36,42362,33821,3
32,47,38646,45400,4
32,49,93212,93636,3
33,10,55025,3706,12
33,16,37835,27667,8
33,18,114200,78765,18
33,19,75675,54315,12
33,20,81761,65058,7
33,21,29389,17509,8
33,23,30709,28219,9
33,24,68082,44135,8
33,25,55539,40605,5
33,36,45081,44468,4
33,49,54253,27838,4
33,50,52703,27114,4
33,51,47799,24227,15
33,52,31662,16232,17
33,53,56562,27999,6
34,10,47480,2964,10
34,12,105720,13400,6
34,13,35591,4844,8
34,14,14066,19934,11
34,15,70738,32949,7
34,20,62849,57518,7
34,23,97044,129594,3
34,24,33664,13207,8
34,25,35298,23832,10
34,26,32449,20604,10
34,28,88741,80594,28
34,29,8001,12913,3
34,52,55920,27895,4
35,2,34164,45487,7
35,13,38748,11240,12
35,14,229474,353026,10
35,15,59346,32037,9
35,16,96922,78504,10
35,18,75639,63847,10
35,19,90440,66000,11
35,24,44817,25625,8
35,25,32129,31958,7
35,26,12743,2457,19
35,126,27761,50732,11
36,13,353131,432251,8
36,14,45338,14988,9
36,15,87984,48741,8
36,16,54399,37950,11
36,18,87815,90184,19
36,19,100491,100194,9
36,20,101554,74786,9
36,21,67211,50006,7
37,12,41819,19987,9
37,16,81997,60290,44
37,18,101459,72735,9
37,19,57449,38540,9
37,20,19158,18959,10
37,21,113790,94816,9
37,23,59141,83669,9
37,24,28296,961,6
37,25,74719,86505,3
37,47,76515,73972,5
37,50,16232,350,67
38,9,13678,845,21
38,12,34154,29085,7
38,13,120235,143640,9
38,14,97467,46163,10
38,15,71579,32257,13
38,21,16324,1796,27
38,23,78569,42704,8
38,24,98956,62688,5
38,49,10094,594,21
39,0,48865,2648,9
39,10,90191,82501,12
39,12,63713,57263,2
39,13,36540,2149,14
39,14,24811,5250,27
39,15,67006,10031,10
39,16,26685,11758,17
39,18,72028,56493,9
39,19,63050,39735,9
39,24,70134,68775,9
39,25,27970,27927,5
39,47,39458,18429,14
40,2,15383,16488,18
40,8,51842,5186,9
40,9,56977,49292,8
40,14,25559,14250,15
40,15,46856,27130,15
40,16,47500,44979,10
40,18,42048,22998,11
40,19,40458,32023,13
40,21,26849,17066,15
40,23,18094,30480,6
40,28,17305,17322,2
41,8,50985,33173,9
41,9,40130,9348,11
41,12,115274,145971,6
41,13,39687,4471,11
41,18,26735,2519,17
41,19,30975,9631,12
41,21,19240,14944,9
41,23,57687,53788,7
41,24,64595,41553,9
42,0,45260,22568,17
42,7,6172,6309,9
42,8,15264,17194,17
42,9,32727,2626,11
42,10,25932,4965,19
42,13,39024,28186,15
42,14,43046,14589,11
42,15,25715,10490,30
42,16,38770,27457,14
42,21,45607,38891,8
42,23,50173,50487,11
42,24,70291,67554,8
42,25,43090,40624,9
42,26,51137,34549,12
42,42,1703,665,34
43,0,41713,3410,11
43,2,49767,1610,10
43,14,65271,3906,11
43,16,46452,29874,7
43,20,42349,38852,9
43,25,177099,119956,9
43,26,43796,49634,5
43,28,95425,97252,6
43,29,141268,66432,4
43,30,122871,46913,79
43,45,18796,908,24
44,0,10157,575,16
44,2,25955,5396,17
44,3,47765,43956,33
44,7,34163,50290,9
44,19,22938,1901,20
44,20,28038,15103,15
44,21,48583,43313,6
44,23,68559,61297,8
44,24,64945,64909,8
44,29,43534,42111,12
44,30,6237,554,34
45,19,49965,46930,17
45,20,30259,31112,3
45,21,43760,44257,5
45,23,49501,39893,11
45,24,35983,30192,11
45,25,56203,52202,8
45,26,26754,18421,20
45,28,81542,81079,10
45,33,108640,86854,5
46,8,56007,10937,10
46,21,75772,63792,8
46,23,52713,37539,7
46,24,40698,34091,5
46,25,37749,29027,9
46,26,76874,68424,9
46,28,53077,52279,10
46,29,11376,919,76
46,30,12248,1958,63
46,31,76562,86556,4
46,40,4958,493,35
47,4,63049,39300,9
47,5,103052,60617,11
47,7,45156,21143,11
47,19,363,475,37
47,25,28153,27787,406
47,26,64735,59581,8
47,28,28663,6923,22
47,29,8719,593,23
47,33,31351,10680,17
48,0,99403,4367,11
48,4,50487,31703,10
48,5,67027,48688,11
48,7,46705,29359,8
48,8,58278,9439,13
48,20,58188,38717,9
48,21,42248,33865,5
48,23,68832,49645,6
48,24,28596,26145,8
49,4,46750,41356,34
49,5,123583,60623,10
49,7,42007,21207,11
49,8,19696,1106,13
49,28,5305,492,57
49,37,31899,25563,3
49,74,4138,58,127
50,0,27201,2654,13
50,2,75547,42914,9
50,3,82626,71491,19
50,10,59073,9276,8
50,18,60918,19952,11
50,28,6995,495,18
50,29,18471,4280,19
50,37,52872,36080,3
51,2,31306,2768,5
51,3,26625,18841,15
51,4,40747,27136,20
51,5,79007,56082,9
51,7,40481,2788,9
51,16,37730,2934,9
51,18,42391,4409,10
51,19,26221,5911,22
