x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices
35,44,9627,305,196,1,1
35,45,2351,350,121,2,2
37,43,6414,844,136,1,1
41,11,18397,2425,36,1,1
50,76,2433,297,128,2,1
75,3,7461,6509,158,1,1
77,4,4472,4595,19,1,1
78,3,7194,5756,155,1,1
79,0,2394,448,226,2,1
81,1,114166,56367,133,4,2
82,0,66108,60943,170,6,1
82,1,136453,44721,125,8,4
84,1,139532,22423,132,5,2
86,2,116861,38255,103,12,5
86,3,160397,61275,161,13,3
86,5,76952,22330,128,9,6
87,1,70849,43840,137,18,5
87,4,2870,417,194,7,1
88,1,64681,29211,97,5,5
88,3,1919,317,189,2,1
88,5,107473,33656,162,15,8
89,0,125134,48957,171,3,1
89,2,16181,12264,118,3,3
89,3,19013,12491,110,26,9
90,1,11260,4565,136,6,2
90,4,6705,740,52,1,1
90,5,156515,76381,158,4,3
91,1,55227,13462,125,2,2
91,3,61019,53262,84,6,3
91,5,55598,40047,151,35,4
91,6,55492,30250,131,4,3
92,0,185066,110693,161,3,1
92,3,37279,13964,161,14,3
92,7,174114,31758,169,5,2
93,2,95859,46614,175,2,1
93,5,55025,37531,90,8,4
93,7,76884,25848,140,11,4
93,9,101767,100418,90,2,1
96,38,1942,776,73,1,1
106,60,2658,946,136,1,1
122,65,61100,19215,33,1,1
