x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices
0,68,39605,14071,13,1,1
0,69,28207,5819,30,1,1
1,68,30147,13900,16,2,2
2,45,76116,13986,14,2,1
3,94,14854,3528,10,3,1
7,18,17220,2288,33,17,1
9,35,10021,4879,34,1,1
10,58,33518,11175,10,1,1
12,68,7692,341,30,2,2
13,65,38274,7815,22,71,10
14,65,55110,10053,15,35,2
14,67,19256,2886,17,27,5
14,68,13826,2159,18,2,2
15,68,131591,21716,22,10,7
15,70,3674,531,148,1,1
18,68,13001,2246,40,2,1
22,89,18831,4720,679,1,1
23,63,6380,4930,61,1,1
23,65,10341,1385,54,1,1
32,68,24156,3289,31,1,1
42,19,44890,4885,19,1,1
80,67,21611,5651,12,1,1
84,54,12585,7533,11,2,1
85,56,13473,3845,13,35,1
86,54,12851,3720,14,1,1
87,8,47893,31605,35,1,1
90,47,5510,513,23,2,1
90,104,14340,4999,25,1,1
96,86,8064,3711,11,1,1
97,114,19662,3755,9,1,1
97,120,25219,11407,11,1,1
102,104,1641,5404,30,1,1
104,103,55937,7244,7,1,1
105,95,22955,4643,9,6,2
105,96,845,607,8,1,1
106,87,62675,7421,11,6,1
106,95,42412,7640,14,29,3
106,96,22725,3696,60,17,4
107,86,49432,7585,11,1,1
107,95,94883,7351,8,1,1
107,97,16290,1475,38,3,2
108,86,67403,7488,12,1,1
108,87,49155,7366,11,4,2
108,97,37581,22949,26,1,1
108,100,26128,10428,17,4,2
110,111,7293,614,39,2,1
121,85,6144,541,25,30,1
123,80,10076,2929,55,1,1
124,116,2089,846,12,1,1
