x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
0,0,107031,27367,12
0,1,120358,28985,10
0,4,54083,10730,13
1,0,112389,14591,14
1,3,71292,21934,31
2,1,68035,23354,9
2,3,94006,29401,12
2,8,214759,51237,9
3,1,191827,48395,16
4,1,62748,12026,9
4,3,78517,26868,8
4,13,42767,8171,7
4,20,31227,9790,12
5,3,53307,10523,9
6,1,51667,10372,10
8,23,53575,10378,11
12,32,48684,9012,58
13,45,25728,10747,10
20,7,9282,2578,7
20,108,216760,12592,54
21,8,98683,10749,73
31,93,13478,12165,61
42,11,5667,1020,63
44,21,7524,917,9
52,122,3111,487,82
52,124,7421,3103,46
53,124,3111,800,33
55,48,17089,7921,76
55,126,87796,43062,17
56,126,5124,599,32
85,23,100965,142099,8
86,23,298387,287901,7
117,14,85339,100994,10
