x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
0,18,15784,5599,34
10,9,84179,6402,28
13,8,39519,928,24
15,4,40967,10342,25
15,5,2387,33,36
16,7,42718,10687,36
16,15,20207,666,24
19,15,16078,10952,37
20,5,24863,19321,33
20,7,1740,1693,25
20,11,17086,6437,30
21,14,7947,620,33
23,7,40872,2981,27
23,11,12523,5627,27
24,12,16603,878,31
24,14,13821,3744,34
25,7,25860,8724,30
26,12,24016,15594,33
29,8,37931,30752,23
33,4,6283,12326,28
56,5,25261,9131,35
57,8,1053,1376,45
58,7,10565,4991,30
58,8,1866,1241,156
60,7,4891,5347,65
60,8,2043,9828,52
67,2,46306,14101,28
88,1,1765,6028,200
