x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
15,96,628,9817,45
58,26,21484,27915,17
60,23,22981,29479,22
60,25,21971,26691,17
60,26,48926,45552,23
61,26,51237,49508,37
61,28,42351,43036,73
61,30,57553,58788,45
62,23,92242,100690,34
62,25,31868,36093,22
63,22,38798,42556,36
63,23,31968,34256,23
63,25,35332,40156,23
63,26,63752,81030,27
63,28,27008,27216,11
63,30,49283,76152,51
64,25,40837,39534,32
64,26,27802,32232,37
64,28,38923,41786,32
64,30,27305,33626,24
65,22,16288,13519,20
65,23,41931,53124,31
65,30,19963,14596,11
65,31,17227,28037,13
66,22,13593,27017,45
66,23,58304,62549,18
66,25,49969,55583,26
66,28,9947,39869,56
68,34,44115,18600,53
78,23,67097,62161,93
87,98,34294,67293,42
88,98,35349,24741,45
90,94,27152,39394,20
90,98,18052,32643,44
91,96,14775,46982,42
92,62,224289,219160,42
92,94,53491,76826,33
93,62,40371,37947,59
93,93,42094,73261,26
93,94,854,13408,25
95,91,53798,65622,46
