x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices
7,39,5385,620,28,1,1
8,117,7559,593,23,1,1
12,96,4318,4684,105,17,1
14,78,12228,389,616,1,1
14,80,476,188,45,1,1
14,100,37800,46006,5,2,1
15,83,4387,443,23,7,1
16,83,3863,443,53,2,2
16,94,32292,18953,26,6,4
17,92,49319,37003,8,2,2
17,93,75602,43413,6,23,6
17,94,79359,40914,7,2,2
17,100,45210,21117,6,3,1
18,92,41155,36308,8,3,1
18,94,114974,91195,20,2,2
18,95,62103,55031,14,15,3
18,99,2389,703,32,1,1
19,92,28769,13037,8,12,2
19,94,37392,30117,10,4,4
19,96,26316,27412,7,6,4
19,97,7127,755,56,7,2
19,99,4583,1283,18,4,2
20,89,46873,44706,8,3,1
20,90,31999,24456,12,64,5
20,96,40318,24063,7,5,1
20,98,7856,781,19,1,1
20,99,20193,13857,18,4,2
21,95,88727,69454,7,3,3
21,96,39197,16191,8,3,2
21,98,7852,746,19,1,1
22,94,37394,30632,7,3,3
22,99,11802,4474,39,9,2
23,94,34892,43204,8,1,1
23,99,96090,48639,12,1,1
23,100,15097,909,28,1,1
24,89,2843,48170,20,2,2
24,90,21961,18656,19,14,3
24,92,27897,21734,5,1,1
26,91,14504,932,29,7,2
27,101,36683,33706,9,4,1
27,106,6123,754,28,8,1
28,86,27084,21381,7,1,1
28,87,23291,45042,11,2,1
28,101,1258,232,30,1,1
30,78,105061,55188,15,2,1
31,72,12914,745,24,2,1
33,98,9362,716,26,1,1
33,101,34892,13731,9,1,1
34,82,4638,706,31,1,1
37,95,12083,672,30,1,1
41,119,6197,471,22,1,1
43,119,13806,577,62,5,1
66,24,12249,818,22,1,1
66,25,10052,768,21,2,1
67,39,52365,26468,27,1,1
67,40,25070,22272,16,1,1
68,39,8435,4129,24,1,1
70,39,21615,4480,44,3,1
70,73,3843,517,21,1,1
76,77,3849,500,22,1,1
82,66,42476,5266,10,1,1
85,81,12313,5124,66,4,2
86,61,74693,56138,10,11,2
87,61,99804,99878,12,11,8
88,60,67935,78060,8,7,2
88,84,7111,804,28,1,1
89,113,8223,1580,89,1,1
91,81,3620,259,37,2,1
109,83,8021,487,31,2,1
