x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
9,99,9098,9884,22
10,100,8691,10451,10
13,82,42296,66218,6
22,79,28482,25688,6
23,80,112302,111717,29
24,79,160724,100773,8
31,36,251643,199194,7
32,36,185981,219471,4
35,71,23761,23379,8
38,14,12760,6342,37
40,42,2458,1224,21
42,15,52186,6096,29
42,16,251745,202286,7
42,17,136722,141429,5
43,65,135401,150632,9
44,16,79555,75513,5
44,17,149407,160828,7
44,36,72822,55582,7
45,16,308620,235550,5
45,17,281859,295261,8
48,14,25243,1875,13
49,13,43053,38072,4
49,14,186452,202571,8
52,13,153063,82786,7
55,9,35876,89602,8
57,62,13299,12801,6
57,125,14200,4993,35
59,62,61608,38889,6
61,62,104925,102152,6
64,29,84959,92384,5
65,31,54274,24226,11
65,34,346648,387417,6
65,59,5295,4676,9
66,32,5548,6731,27
66,57,100736,95423,6
67,57,20728,6471,8
69,35,9559,5461,35
71,36,273260,242273,6
71,37,341490,441964,8
71,38,136392,71635,7
72,36,227600,48949,7
72,36,247794,176902,7
72,37,61215,64797,20
72,38,11627,10551,4
73,36,151383,133957,8
74,38,429763,448341,6
74,39,78641,27865,24
75,72,79865,93850,5
76,37,298069,274265,6
77,36,95107,51032,33
77,37,201999,204785,6
77,38,75658,86578,4
77,39,386578,379214,9
78,37,74929,61607,30
78,39,192037,155770,17
78,41,95646,10480,60
78,89,80394,80129,5
79,40,41920,56754,16
80,38,4341,4762,9
80,39,4920,4518,19
80,41,20013,24001,7
80,87,44968,39507,11
82,38,63958,21988,8
84,34,17056,13207,35
86,76,10199,3797,30
93,44,2506,6934,261
93,117,150556,153755,9
96,72,130443,163743,8
99,29,11291,12840,14
99,124,14571,6364,33
100,124,14267,6591,34
102,22,46197,27378,7
102,23,60757,74633,6
117,59,87474,82463,5
117,117,11155,5109,43
118,103,13134,10896,8
121,112,28701,52571,6
121,113,23552,40661,4
125,114,30515,6972,22
