x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
0,97,9473,3466,40
13,84,19290,6929,21
23,35,6766,5426,29
25,39,4282,3645,25
26,29,3951,1844,613
30,22,796,331,40
31,14,14049,11757,79
31,22,4793,1996,109
32,15,6264,3141,63
32,19,10943,10204,46
33,14,6825,2852,67
34,12,7753,1619,24
34,15,1847,773,31
34,17,6226,3834,23
35,15,8131,2905,42
35,17,6917,3497,32
36,12,13402,9792,16
36,14,4986,1159,33
36,17,13453,899,28
36,18,8012,801,35
36,19,4808,1990,123
37,12,6581,800,32
37,14,4730,1378,88
37,15,7686,3565,37
37,123,3771,451,26
38,14,6540,2792,53
38,15,6812,1082,39
38,17,3183,1346,122
38,18,6735,15621,47
39,11,2844,663,33
39,12,6653,1808,29
39,17,8022,1822,37
40,12,9084,3873,28
40,14,12978,5970,27
40,15,11797,7279,22
41,14,4091,2394,48
41,15,9301,6445,26
41,17,6381,2125,27
42,15,3673,1749,33
42,17,9566,4072,142
44,12,3271,708,30
44,14,5119,798,27
45,11,5725,306,25
45,15,7268,3879,31
47,7,3874,4681,100
47,11,7602,2897,16
48,14,3092,3571,21
53,101,1808,1553,26
55,101,3103,488,26
109,90,5840,1624,66
110,90,24147,10780,35
114,84,2725,434,13
115,80,19234,4866,11
115,86,6717,1810,18
116,80,7859,2673,13
116,83,12080,4033,17
116,84,8192,1080,50
116,114,5755,1452,15
117,79,6203,3961,16
117,83,5420,1194,35
117,84,5106,1059,57
117,86,7850,2502,11
117,87,3244,463,65
118,80,7150,2094,17
118,82,10050,5462,15
118,86,5098,1348,38
118,87,3745,545,27
118,89,8328,2807,11
119,80,5923,1580,11
119,82,13018,4256,16
119,83,14556,5201,21
119,84,10294,2592,16
120,79,5166,994,17
120,82,4138,898,27
120,83,7905,4077,19
120,84,11748,3637,36
120,86,11550,4324,26
121,84,17660,2057,9
122,83,1414,2421,22
