x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms,average
0,29,31311111,3,5,31311111
0,30,254998,86334,12,254998
0,31,6,5,1,6
0,37,158817,17866,21,158817
0,67,2,0,31123111,2
0,71,31011237,0,31011308,15505618.5
0,72,30233038,112325,494200,10077679.333333334
0,73,23309685,608465783,10299703,3884947.5
0,74,327668,16756,21,327668
0,87,39596,15,1,39596
0,97,14,4,2,14
0,101,4,1,0,4
1,26,6339,18,30233034,2113
1,27,0,1,1,0
1,28,3,615450333,531187,1.5
1,29,330313120,13,518,330313120
1,30,30233031,3111120,238394,30233031
1,35,1,302330313,110320,1
1,41,2,0,330313103,2
1,59,2,3023304,11300110,1
1,61,0,233031123,3233,0
1,63,31123322,2,5,31123322
1,66,1,1,30233031,1
1,68,6,7,2,3
1,69,1,302330311,223221,1
1,71,9,6,30233031,9
1,72,9,233031016,3004,3
1,73,330885486,22908,330310853,55147581
1,74,31011002,233031014,102,15505501
1,77,16,5,0,16
1,78,1,1,30233031,1
1,88,0,303322233,17589,0
1,89,330303322,232,664,330303322
1,95,92291,47614,11,92291
2,26,2,0,23303131,2
2,27,2,3023303,13130113,2
2,28,23303131,30102,68933,23303131
2,29,22260,49,7,11130
2,38,1,3023303,13112022,1
2,42,0,233031311,1122,0
2,55,330312100,333,490,330312100
2,57,294,426,3,294
2,59,34,8,23303116,17
2,62,30233031,1233230,36313,30233031
2,72,67051,11493,45,67051
2,73,7057,310111338,151393,3528.5
2,74,30233032,110031,31104290,15116516
2,76,7,1,1,7
2,77,1,1,0,1
2,78,20,2,2,20
2,80,61243055,233131311,31113607,15310763.75
2,81,25,7,330310104,6.25
2,90,93198,35088,27,46599
2,98,1,232333211,333213203,0.5
2,104,32111121,152784,28359,32111121
2,107,0,332111000,53472,0
2,115,4,1,0,4
2,116,2,0,323332103,2
3,28,13130101,303143837,11378,6565050.5
3,29,72994,16541,17,72994
3,35,4,1,1,4
3,40,2,1,0,2
3,42,1,0,31311113,1
3,65,361442326,221,380,180721163
3,67,70694,5734,19,70694
3,69,20,1,1,20
3,71,23303103,21113,16725,23303103
3,72,10321242,100605,8412,3440414
3,73,61283660,313055,30435484,12256732
3,74,16984,39,7,4246
3,76,1,306126313,10301012,0.5
3,77,23303103,1000,32290,23303103
3,79,962,412,19,962
3,80,19367,18,10,9683.5
3,81,33416222,200761,95362,16708111
3,82,550046,21243,42,275023
3,83,11,2,0,11
3,85,19,1,1,19
3,88,23049,20,12,23049
3,101,30462,11,4,30462
3,102,15,11,4,15
3,103,0,233321111,23,0
