x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices
0,12,12798,4040,11,7,1
0,26,3688,3973,40,6,3
0,33,12930,7246,25,4,3
0,35,5638,5993,25,6,4
1,26,5060,5608,23,12,4
1,28,10162,8813,11,3,2
1,29,14469,11043,17,18,5
1,30,14167,15759,23,6,4
1,32,13106,6231,16,2,2
1,33,2617,2068,17,1,1
1,35,13209,3149,27,2,1
1,36,7490,1765,38,2,1
2,36,5894,5464,17,1,1
2,38,2772,5223,21,1,1
3,7,97,125,47,1,1
3,20,45085,15305,8,1,1
3,22,8406,2157,18,1,1
3,25,2401,2019,23,9,1
3,29,8529,6032,26,10,6
3,31,9628,8941,195,2,1
4,23,15283,6318,20,4,2
4,28,14516,973,19,8,2
4,29,14704,17218,11,4,2
4,31,11596,7552,35,11,4
4,32,26083,18048,25,3,2
4,36,16458,10801,33,2,2
5,35,57976,709,47,1,1
6,9,11857,10209,12,1,1
6,28,23961,3297,23,3,2
6,29,6357,8845,18,2,2
6,31,9430,7573,27,2,2
6,32,29079,9403,13,1,1
6,34,30275,35266,15,1,1
7,28,19977,5949,31,34,2
7,29,4365,4846,59,2,2
7,31,3676,2334,60,2,2
7,32,13609,12594,12,2,2
7,35,13228,527,43,2,1
8,6,11708,11851,9,3,1
8,12,4398,2020,23,4,2
9,3,5506,4537,18,1,1
9,5,11616,11293,10,1,1
9,13,24962,3552,15,5,2
9,15,9964,9691,23,1,1
9,22,7439,3175,7,2,1
9,28,16298,9950,17,12,4
9,29,13447,8133,16,13,3
9,31,12865,16696,39,2,2
9,32,13045,9456,20,10,3
10,28,9998,833,58,1,1
10,29,19241,18667,10,1,1
10,32,16593,12802,20,9,3
10,35,6866,7864,35,35,3
10,37,997,470,59,2,1
10,38,7415,4405,31,2,1
11,6,9515,8546,19,11,3
11,11,18014,7417,12,3,2
11,12,11124,8253,21,2,2
11,15,15668,4057,31,1,1
11,34,14769,7548,35,4,2
11,35,27334,12261,32,20,3
12,1,7596,2009,19,1,1
12,2,29583,16248,12,3,1
12,5,4278,5543,60,1,1
12,12,13398,5723,21,43,3
12,14,22283,6039,20,4,2
12,16,16616,12794,8,24,1
12,25,6672,2488,24,1,1
12,28,8275,3064,33,8,2
12,29,15768,12418,16,5,1
12,31,19686,18933,13,1,1
13,16,5710,5271,17,4,2
13,19,7826,5796,18,3,3
13,22,9641,828,13,4,2
13,31,24065,17203,42,3,2
13,32,11186,9950,31,3,2
13,34,10859,8926,13,5,4
13,35,7458,17411,21,1,1
13,37,18452,21439,20,1,1
13,38,9995,1978,30,18,1
13,41,9136,1889,36,1,1
14,1,4688,2592,34,3,3
14,14,4847,5103,11,5,1
14,34,6235,3393,44,44,2
14,35,11533,9513,22,5,2
14,37,11096,7350,21,10,4
14,41,19932,11996,36,4,2
15,1,17030,12585,13,1,1
15,8,4311,3929,17,1,1
15,19,9939,9771,14,1,1
15,22,5466,3671,8,1,1
15,30,10905,9717,27,4,3
15,31,7352,6352,29,2,1
16,18,8407,9442,13,6,1
16,27,16695,19015,14,1,1
16,30,6775,5765,16,4,1
16,31,28387,23502,37,4,1
16,32,9279,9020,23,3,3
