x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices
107,78,28250,49512,67,1,1
108,79,6277.666666666667,10123,170,51,3
108,80,26467.571428571428,127287,340,171,44
108,81,42027,38671,24,24,11
109,85,101868,97487,19,2,1
110,84,96635,167358,33,14,5
110,85,52328.5,68323,50,5,4
118,80,92065,46090,21,1,1
118,81,10965,10296,26,2,1
119,81,27149,66741,66,5,5
120,79,22139.6,65412,347,83,34
120,80,30080.875,164614,584,329,103
120,81,28388.285714285714,153816,276,204,61
121,77,4634.5,7757,109,3,2
121,78,38492.142857142855,192848,212,143,42
121,79,36162.444444444445,211255,355,447,109
121,80,38535.818181818184,345538,407,834,222
121,81,24531,21815,55,22,14
122,77,60289.25,177166,79,77,12
122,78,32102.333333333332,186751,394,284,94
122,79,45749.25,291258,229,487,137
122,80,26791,23547,27,14,5
123,77,15758,18380,66,3,3
123,78,36606.555555555555,310935,405,132,32
123,79,36350,96739,99,77,23
123,82,3527,375,79,1,1
