x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices
1,62,257720,49161,6,1,1
2,33,491330,66119,7,1,1
2,44,414450,169830,52,3,1
3,42,209793,252259,10,9,1
3,43,533833,371275,11,17,1
4,43,586090,569625,12,17,1
4,60,444982,390464,11,1,1
5,13,79956,24689,7,1,1
5,14,47173,31709,6,7,1
5,97,372966,357074,6,1,1
5,106,17339,2089,13,53,2
5,107,10310,2082,38,12,2
6,42,3609,2187,16,1,1
6,109,9417,959,12,1,1
8,19,119011,22228,9,1,1
8,104,6598,829,36,1,1
8,112,115983,241769,30,1,1
9,43,563624,265826,10,1,1
10,5,209117,315229,10,1,1
10,41,108960,47362,9,1,1
11,25,196618,118946,7,5,3
12,48,34135,39496,9,2,1
13,103,269056,129614,5,4,1
15,39,272102,179098,7,2,1
16,96,7144,966,43,1,1
17,65,9270,29645,31,2,1
21,60,29621,32737,10,2,1
22,60,370276,253275,6,2,1
24,59,23275,8335,7,2,1
25,25,239901,279357,11,7,1
27,114,53536,13966,32,2,1
31,62,63448,8518,31,1,1
31,65,229379,54872,3,3,1
32,17,5118,3692,89,1,1
32,18,68883,8312,19,2,1
32,63,119681,15283,22,1,1
32,65,306737,64574,24,2,2
33,4,94590,93830,18,1,1
33,16,34944,24405,44,2,1
33,62,124757,111898,43,4,2
33,64,291271,54241,6,1,1
33,69,305428,170516,6,1,1
34,9,377543,90607,23,1,1
34,66,59773,5871,27,2,2
34,80,107436,58584,7,2,1
35,1,617335,395023,23,1,1
35,63,7659,19620,30,3,1
35,64,261123,48799,9,11,1
35,65,66323,14618,32,2,1
35,67,79166,7906,23,1,1
36,63,109608,66580,8,30,1
36,66,144123,87540,9,13,6
36,69,410722,101193,6,1,1
36,70,274321,142969,6,2,1
37,58,38973,47141,22,1,1
37,71,35848,31401,9,1,1
37,109,108313,49789,7,1,1
37,118,356952,483549,20,1,1
37,122,97147,54414,18,2,1
39,36,7650,6807,68,1,1
39,84,314761,51244,6,1,1
40,39,27119,15653,48,1,1
41,27,190931,325129,19,1,1
41,28,303861,427532,20,9,1
41,37,14637,3132,72,2,1
43,35,17735,11744,57,4,1
43,105,536589,134161,7,1,1
45,24,51224,44646,5,1,1
45,52,4107,557,35,1,1
45,57,56282,61706,21,2,1
45,68,16521,23412,36,1,1
45,117,557677,184466,6,7,1
46,26,299429,283914,11,1,1
48,16,331502,180479,8,1,1
48,25,32522,8271,28,4,1
48,27,1050,91,36,1,1
49,24,7421,16448,9,10,1
50,87,136569,53468,8,1,1
52,23,1417,1853,26,1,1
52,127,126497,136925,21,1,1
53,3,66120,30823,19,1,1
53,25,7416,6407,22,8,2
53,27,222196,224105,8,6,2
54,26,71173,57827,8,2,1
54,27,153365,98020,8,6,1
55,3,96118,32391,19,1,1
57,3,36394,19512,23,1,1
57,100,183614,52129,72,6,2
58,32,310091,288584,20,2,1
59,33,172864,119728,7,2,2
59,68,194975,53008,7,2,1
60,35,246359,197055,8,1,1
60,51,62316,57047,20,12,1
62,48,48777,45288,20,1,1
64,96,29486,29927,6,1,1
65,7,8725,5138,40,3,1
65,8,5067,3079,35,2,1
68,6,30548,3256,20,8,1
69,3,17387,5922,19,2,1
69,6,6125,2114,156,5,1
70,54,313876,51437,7,1,1
76,35,94069,135070,23,9,1
77,34,64181,255748,21,2,1
78,26,14388,9994,11,1,1
78,27,58970,34328,19,19,1
78,62,536188,278158,7,2,1
79,61,532973,400822,14,1,1
80,110,46596,11659,25,3,2
80,111,32219,7253,23,1,1
81,59,5995,19510,22,2,1
82,115,220650,135753,15,1,1
82,125,140725,55832,10,2,2
83,120,6312,1302,16,1,1
84,124,147148,76585,11,1,1
85,123,63494,32372,10,3,1
85,124,67586,43425,11,2,1
87,121,390767,227653,21,4,2
87,122,159029,55993,8,1,1
93,29,109431,148865,13,4,1
93,90,457,11,18,1,1
94,89,216737,185951,8,3,1
94,90,179005,129395,8,8,1
96,125,8356,2965,18,1,1
98,80,4978,364,20,1,1
99,39,11141,7947,21,1,1
99,44,20826,12043,18,1,1
99,126,8327,8104,14,1,1
103,42,6646,305,43,11,2
108,8,4916,5698,38,9,1
111,121,44901,53836,16,7,1
112,13,275751,292701,9,10,2
114,11,23493,23946,10,11,2
116,113,6561,15593,8,1,1
117,29,313622,51975,6,1,1
117,54,7530,7799,32,49,1
120,68,326414,321099,19,1,1
126,58,9393,1922,12,1,1
126,111,227199,41480,10,1,1
