x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
9,105,6902,5353,23
20,125,37922,40188,33
25,119,9384,20141,38
25,121,16215,25219,22
26,121,25142,41180,23
27,119,33461,41699,29
28,119,15581,33068,25
31,119,3222,45244,25
64,5,44170,12741,37
89,118,24955,11922,33
95,78,28130,14072,37
97,116,40520,23681,31
98,116,20942,18982,32
98,118,17876,37781,32
99,118,47890,41503,33
100,110,11210,12537,65
100,114,19362,27075,36
100,116,23421,25804,28
101,118,17697,33734,20
103,125,37442,22363,48
105,119,11064,27081,33
107,111,22571,38602,35
109,111,13884,608,44
109,113,30077,16274,43
112,122,4132,4195,41
114,74,18354,29077,29
120,63,892,6909,25
120,66,4514,1483,31
