x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
25,76,117440,31593,13
36,42,511113,163081,9
40,74,108346,35332,46
43,108,208331,9883,27
49,88,57511,9091,26
56,15,317357,70359,10
57,25,221409,51864,25
65,112,94538,15848,13
65,122,938719,32527,9
66,108,936502,32437,10
77,98,412809,33157,13
82,109,532079,26512,23
85,8,7284,18842,11
88,125,234896,33014,11
89,102,951963,32773,10
89,104,949589,32842,9
89,119,520637,26446,9
91,118,132438,20386,10
92,102,958077,32855,9
94,97,811928,31263,8
94,105,216657,35188,11
105,91,939380,31683,10
112,115,83855,34045,15
113,35,702712,112061,25
113,115,36412,35009,15
114,91,477621,20509,10
116,115,8803,28533,19
117,116,226251,24684,14
118,115,90323,28467,23
123,39,408475,31276,17
123,40,439217,31222,13
123,116,503469,18545,12
124,16,310440,19351,10
126,42,565115,24460,28
126,52,18494,36336,11
127,43,405782,33182,10
127,45,285843,18804,8
127,49,258067,32704,14
127,50,328688,9779,19
