x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms,average
0,12,123321202,200,261,123321202
0,14,10510,4797,54,10510
0,15,13,2,1,13
0,18,1,0,311233212,1
0,61,0,320312120,5878,0
0,75,58714,66204,3,58714
0,76,4,52,10,4
1,12,6,1,1,6
1,14,0,321202201,12525,0
1,14,1,331123321,202300,1
1,17,22,16,1,22
1,30,17,2,1,17
1,31,21112330,3228,639,21112330
1,32,8283,761,28,8283
1,36,5,5,3,5
2,0,26,15,0,26
2,13,53,17,0,53
2,16,73062,17,143,73062
2,30,14,1,1,14
2,48,33112332,321030,12835,33112332
2,49,332032102,2,4,332032102
2,50,14,17,1,14
2,67,20311323,57901,47503,20311323
2,76,5037,153,40,5037
2,77,2,7,1,2
2,82,2012223,55008,51896,2012223
2,83,4,33,18,4
3,0,236538,27,12,236538
3,1,28,26,7,28
3,20,33112332,1200331,22793,33112332
3,21,332120022,0,7,332120022
3,28,824,650,14,824
3,42,9625,82,2,9625
3,49,0,112332032,1033,0
3,74,310201310,0,0,310201310
3,76,5,7,8,5
3,83,39249,33858,13,39249
4,29,5849,90,1,5849
4,49,1,0,332032112,1
4,50,4927,12,1,4927
4,55,24,4,0,24
4,82,311231020,12230,38794,311231020
4,84,69968,3,4,69968
5,0,914,889,25,914
5,1,24,29,14,24
5,4,37,19,33113000,37
5,14,7,0,123321202,7
5,15,379,843,16,379
5,19,0,112332120,1112,0
5,24,5037,16,3,5037
5,74,33112310,2013302,52800,33112310
5,75,310201330,1,9,310201330
5,77,0,102013213,43728,0
5,82,0,112310201,3102,0
5,83,33112310,2013101,79668,33112310
6,0,182433,168493,29,182433
6,1,141616,39,73,141616
6,14,21,9,4,21
6,19,26453,24139,29,26453
7,1,821,121,24,821
7,14,8415,27,6,8415
7,17,2,1,0,2
7,68,1,1,0,1
7,76,6928,12,42,6928
7,77,6,331123102,13221,6
8,7,112303,1,0,112303
8,8,5548,14,6,5548
8,18,23,101,4,23
8,27,3,1,0,3
8,29,9,4,33112332,9
8,33,4416,28,2,4416
8,68,6,2,1,6
8,76,32152,34831,11,32152
8,78,22,0,123102013,22
8,79,123102013,212,589,123102013
9,62,34,7,33112332,34
9,68,25,11,3,25
9,75,0,112310201,3303,0
9,77,3,5,0,3
10,1,130001130,20,843,130001130
10,7,33113000,1123032,118372,33113000
10,19,332120301,3,9,332120301
10,25,8,1,1,8
10,27,57,2,1,57
10,32,13419,11257,45,13419
10,33,9,4,0,9
10,72,1,331123320,312121,1
10,77,6,1,1,6
11,7,0,113000112,3033,0
11,8,3,8,6,3
11,22,33112332,1203032,11889,33112332
11,28,37856,17980,26,37856
11,32,33112332,1122003,58427,33112332
11,33,332112200,0,5,332112200
11,35,123321120,302,140,123321120
11,46,21,1,1,21
11,61,38,11,0,38
12,2,0,1130021,207097,0
12,26,6496,27,31,6496
12,29,48,16,4,48
12,43,613,887,53,613
12,57,20321303,16893,17596,20321303
12,72,9,0,123320312,9
12,77,18,78,37,18
13,3,7,331130001,130022,7
13,8,208025,240667,28,208025
13,31,0,112332112,2010,0
13,42,44985,37603,13,44985
13,57,311233203,21310,8986,311233203
13,76,56,0,310201331,56
14,1,25,20,10,25
14,2,22,7,0,22
14,46,18773,16,21,18773
14,47,19,2,1,19
14,54,0,233203213,11,0
14,74,78,32,33112310,78
14,79,31,12,0,31
15,1,3811,28,23,3811
15,2,1,1,1,1
15,3,4,0,130001130,4
15,4,38,9,33113000,38
15,5,5,0,112310,5
15,26,1,1,9,1
15,30,34171,23,3,34171
15,31,5,0,332112201,5
15,80,12,9,0,12
16,2,3,0,311300011,3
16,3,6,3311300,1130201,6
16,4,16,0,112330,16
16,6,8737,29,73,8737
16,7,0,1,9,0
16,9,156570,30,78,156570
16,12,3918,20,1,3918
16,23,2,1,0,2
16,25,1,1,33112332,1
16,26,0,112332120,3033,0
16,33,21122331,20995,12797,21122331
17,0,594,50,1,594
17,1,31,20,10,31
17,2,1,1,0,1
17,4,20,40,33113000,20
17,5,0,113000112,3300,0
17,6,6,2,6,6
17,7,23,5,5,23
17,8,1123113,163522,170603,1123113
17,9,86981,82147,24,86981
17,10,38,19,0,38
17,14,22,2,1,22
17,26,1,0,332120310,1
17,29,0,233211230,32,0
17,42,0,321120303,19585,0
17,48,24279,4600,29,24279
17,75,17,6,0,17
17,77,49604,15,108,49604
17,81,3,1,1,3
17,82,8,6,0,8
18,10,31,39,13,31
18,12,17503,19484,35,17503
18,15,123321211,30,161,123321211
18,16,22696,24666,21,22696
18,20,21601,21558,28,21601
18,22,69,58,13,69
18,69,0,112332031,3301,0
18,80,9,95,41,9
