x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms,average
0,46,5,39,7,5
0,47,12,2,0,12
0,61,3,2,0,3
0,70,4,4,0,4
0,73,34326,21397,7,34326
0,80,3,0,2133013,3
0,84,2133013,1100,63377,2133013
0,96,1,200213301,210233,1
0,102,14,1,1,14
0,106,2,4,8,2
0,107,419,13,1,419
0,108,11,1,1,11
0,110,1,0,2133011,1
0,111,0,132330113,31,0
0,112,33011322,273584,218075,33011322
0,114,87,8,2,87
0,115,2,2,1,2
0,116,1,1,0,1
0,117,0,232332211,177568,0
1,46,167576,161597,4,167576
1,47,5329,5,7,5329
1,60,16,19,5,16
1,66,120022111,1331001,15097,120022111
1,70,362984,527511,4,362984
1,71,11311230,465372,522459,11311230
1,79,7,1,1,7
1,80,5,2,0,5
1,81,4,12002133,1301121,4
1,108,370,671,7,370
1,115,1530,16,1,1530
1,117,1,0,213232333,1
1,120,22438,32456,10,22438
2,98,0,301210232,52840,0
2,106,330120213,0,3,330120213
2,107,213301201,321,514,213301201
2,108,209716,179001,4,209716
2,113,56932,51103,19,56932
2,115,3,9,6,3
2,116,23,1,1,23
2,118,1,200213232,332213,1
2,119,323232111,1,0,323232111
2,121,2,2,9,2
2,123,1,200213232,313233,1
2,124,0,232313230,77416,0
2,126,213232313,201,869,213232313
2,127,672710,533715,5,672710
3,47,9,5,4,9
3,49,3,200230000,12212,3
3,54,88,4,9,88
3,125,6,6,2,6
3,126,1,0,213232313,1
3,127,7,2,1,7
4,46,4711,4189,49,4711
4,47,10,3,1,10
4,49,120023000,20000,93974,120023000
4,50,1311,3,9,1311
4,51,12,9,3,12
4,52,43,5,0,43
4,54,1846,79793,9,1846
4,55,3123,71650,115713,3123
4,73,2211113,11231,97113,2211113
4,79,5,10,5,5
4,97,6,5,2,6
4,98,1,0,213301211,1
4,99,135559,77356,5,135559
4,102,11,1,1,11
4,107,1,1,0,1
4,108,3,200213301,201332,3
4,112,6,1,1,6
4,113,2,2,0,2
4,114,3,12002132,33012230,3
4,115,120021323,3003102,355637,120021323
5,44,4,2,1,4
5,45,13,1,1,13
5,47,28030,7,1,28030
5,49,0,23000002,1,0
5,51,158820,4,28,158820
5,52,3,42,4,3
5,53,12002,176415,85206,12002
5,77,98,3,4,98
5,86,0,133013011,20,0
5,97,31,1,1,31
5,98,1,1,0,1
5,104,30,1,120021330,30
5,107,1,2,5,1
5,108,3,0,213301201,3
5,110,0,301201323,65990,0
5,112,269169,6,6,269169
5,113,6,1,1,6
5,114,2,0,2132330,2
5,115,0,21323300,3310,0
5,116,323300310,1,8,323300310
5,123,9795,7,7,9795
5,126,1,1,0,1
5,127,49,19,1,49
6,60,82393,77597,14,82393
6,61,93,19,1,93
6,66,0,22111133,1003,0
6,96,3,5,5,3
6,97,5917,6,5,5917
6,101,843,488,24,843
6,103,3,1,0,3
6,107,6,1,1,6
6,115,1,1,0,1
6,116,2,0,323301110,2
6,117,331612,236447,6,331612
6,126,6,1,1,6
7,46,0,300000220,3,0
7,47,22001,145952,141228,22001
7,49,4,1,0,4
7,50,3,0,2012,3
7,52,944,424,5,944
7,53,5,12002300,12012,5
7,54,2300000,12003,13682,2300000
7,100,213301210,221,663,213301210
7,102,235209,5,4,235209
7,105,1,0,330120221,1
7,116,1,1,120021323,1
7,127,32303133,19687,11256,32303133
8,47,2300000,22002,47948,2300000
8,49,8,34,5,8
8,50,1,1,120023000,1
8,51,230000012,210,494,230000012
8,52,172091,139315,4,172091
8,53,2,0,2300000,2
8,54,0,300000120,10,0
8,61,57548,15,16,57548
8,67,111133032,3,6,111133032
8,72,0,211113113,20,0
9,47,4,2,5,4
9,50,658,670,4,658
9,51,146448,98941,8,146448
9,52,7254,4,2,7254
9,53,0,22330,170011,0
9,80,3,0,213301310,3
9,96,11205,12,2,11205
9,115,1,0,2132330,1
9,116,1,12002132,33030013,1
9,117,80503,21,1,80503
9,119,6,1,1,6
10,47,3,13,3,3
10,49,230000102,21,76,230000102
10,50,227583,173158,9,227583
10,52,5,1,8,5
10,53,6,200230000,22331,6
10,54,230000022,323,943,230000022
10,58,9,9,9,9
10,59,7,9,7,7
10,60,17,5,0,17
10,65,1,0,2300000,1
10,67,0,300000003,0,0
10,85,9,25,9,9
10,88,2,200213301,301312,2
10,89,0,301301310,222565,0
10,90,213301301,303,345,213301301
10,95,75278,34697,24,75278
10,101,1,1,0,1
10,105,76,5,16,76
10,115,26,5,0,26
10,117,67380,20457,12,67380
10,118,88,6,3,88
10,122,11,5,0,11
11,79,2,2,0,2
11,84,213301310,321,612,213301310
11,85,313574,297571,3,313574
11,86,176666,6,9,176666
11,87,8,5,0,8
11,100,55,30,6,55
11,102,9,1,1,9
11,103,1221201,209963,230602,1221201
11,108,34093,24547,31,34093
11,116,6,1,1,6
11,117,2132330,30003,47505,2132330
12,47,2305,10,15,2305
12,49,1,0,230000102,1
12,50,0,102022,3756,0
12,51,0,23000002,3233,0
12,52,2321,1,7,2321
12,53,8,4,3,8
12,54,7,0,230000022,7
12,57,2220,1,4,2220
12,58,166721,153192,7,166721
12,59,932,20,4,932
12,60,32,5,1,32
12,63,598,564,4,598
12,64,61,4,2,61
12,65,4,1,0,4
12,114,683,834,6,683
12,117,0,132330300,11,0
12,118,33030002,327669,293130,33030002
12,124,81953,57984,43,81953
12,126,616,687,5,616
12,127,136258,11,8,136258
13,47,1,8,7,1
13,49,2,2,0,2
13,50,1,200230000,102030,1
13,51,1,0,2332,1
13,52,120023000,23220,77888,120023000
13,53,3,1,1,3
13,54,27,7,0,27
13,55,0,23000002,2210,0
13,56,120023000,22203,122571,120023000
13,59,38628,34531,18,38628
13,60,245881,2,1,245881
13,61,8,0,2300000,8
13,62,3,12002300,22010,3
13,64,21834,21,4,21834
13,65,5,2,1,5
13,69,2300000,221,75864,2300000
13,70,13121101,23076,8676,13121101
13,79,8,5,4,8
13,86,600,212,3,600
13,87,5,6,3,5
13,88,2,0,213301301,2
13,93,8384,25,1,8384
13,105,16516,7530,35,16516
13,106,11649,30,2,11649
13,107,330122002,2,3,330122002
13,112,313723,338890,6,313723
14,47,4,1,1,4
14,49,10222,1,7,10222
14,50,331695,414067,5,331695
14,51,2,12002300,32130,2
14,52,2300000,32122,23212,2300000
14,53,3,7,1,3
14,54,1,1,120023000,1
14,56,12,8,0,12
14,58,13,0,2221,13
14,59,6,4,2,6
14,60,3,2,0,3
14,61,0,22033,34561,0
14,70,1,12002300,1021,1
14,79,172895,176264,6,172895
14,85,0,301310323,60810,0
14,93,324,381,19,324
14,106,2133012,21210,73968,2133012
14,107,1,1,120021330,1
14,118,5,53,7,5
14,119,6,8,3,6
14,124,1,0,213233012,1
14,125,0,233012323,304929,0
14,126,213233012,322,849,213233012
15,49,120023000,102300,226045,120023000
15,51,1,0,2300000,1
15,52,0,300000321,23,0
15,53,81,7,8,81
15,54,3,1,0,3
15,59,2572,9,77,2572
15,60,7,5,3,7
15,61,4,200230000,22101,4
15,62,230000022,32,303,230000022
15,73,4,1,120022111,4
15,80,0,9,6,0
15,81,7531,3,1,7531
15,82,5,17,7,5
15,105,0,133012212,11,0
15,108,1,0,330122021,1
15,118,356806,6,4,356806
15,119,1395,5,13,1395
15,125,4,200213233,12330,4
16,91,28728,8215,45,28728
16,96,1231201,43908,59001,1231201
16,112,3,200213233,30103,3
16,113,0,233030102,268730,0
17,49,12,2,120023000,12
17,50,0,23000010,2301,0
17,51,4,9,4,4
17,52,14,7,0,14
17,54,159701,6,71,159701
17,55,4,2,2,4
17,58,4,3,120023000,4
17,62,2,0,230000022,2
17,63,119490,129724,8,119490
17,77,1,0,111133123,1
18,49,26,3,0,26
18,50,3,0,10230,3
18,51,279766,4,1,279766
18,52,4,8,4,4
18,53,32121,68774,61351,32121
18,54,29848,32443,4,29848
18,55,66,3,13,66
18,86,1,200213301,310330,1
18,95,0,133012313,11,0
18,96,2133012,31221,749,2133012
18,104,1,1,0,1
18,105,1,0,2133012,1
18,106,2,12002133,1221302,2
18,107,4,1,1,4
18,108,2,1,0,2
18,109,0,21330122,200,0
18,110,120021330,1220023,109650,120021330
18,114,213233030,101,885,213233030
19,49,5,3,2,5
19,50,8,82,15,8
19,51,7,12002300,102333,7
19,52,2300001,2323,63177,2300001
19,53,90475,86258,5,90475
19,54,48,4,1,48
19,65,4,0,230000002,4
19,66,3,200230000,2210,3
19,71,60,4,1,60
19,92,3,0,330130233,3
19,93,8,7,8,8
19,94,6,8,3,6
19,95,832,386,51,832
19,96,45964,6,1,45964
19,97,3,7,3,3
19,104,6,1,1,6
19,107,33,4,1,33
19,119,1,1,0,1
19,124,6,6,6,6
20,91,28,7,0,28
20,92,1,1,120021330,1
20,93,263051,181143,7,263051
20,94,8412,5,30,8412
20,97,3,5,3,3
