x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms,average
0,23,6,6,2,6
1,40,120032232,1330002,268665,120032232
1,41,232132223,0,3,232132223
1,58,2,0,322321312,2
2,106,1,200321333,203231,1
2,107,0,333203213,20161,0
3,74,1,1,120032201,1
3,92,0,10100133,261091,0
3,111,8281,5094,77,8281
3,114,447,871,19,447
3,115,12,1,1,12
3,117,9,1,1,9
4,92,1,200322010,100300,1
4,116,12,1,1,12
4,126,2,1,0,2
5,8,0,322033103,113319,0
5,34,0,32232133,30,0
5,73,11,6,0,11
5,116,1532,47,1,1532
5,117,3786,48,1,3786
5,125,0,0,1,0
6,76,201010211,1,1,201010211
7,58,2,1,1,2
7,77,79,7,6,79
7,87,10,4,2,10
7,102,7,7,2,7
7,116,11,1,0,11
7,117,55091,67130,13,55091
7,119,240675,15,1,240675
7,126,133202301,3,8,133202301
9,22,70367,4,8,70367
9,58,5,4,2,5
9,116,3,2,2,3
9,125,2,1,0,2
10,125,16,1,1,16
11,51,173,34,2,173
11,66,3,1,0,3
11,123,80,35,2,80
12,97,4,1,1,4
12,100,1,1,0,1
12,113,13,1,1,13
12,126,120032133,2133222,30062,120032133
14,14,2,0,322322033,2
15,18,269,311,4,269
15,33,7,10,4,7
15,52,6,8,3,6
15,74,10123330,103304,9672,10123330
15,83,15,18,5,15
16,112,1953,13,1,1953
17,73,3220101,23331,2450,3220101
17,83,21558,640,1,21558
19,11,3,1,1,3
19,12,5,2,0,5
20,40,22010033,155126,127731,22010033
20,80,37394,7607,59,37394
21,10,9564,15911,32,9564
21,11,4557,4,3,4557
21,12,8,1,1,8
21,107,123572,136397,17,123572
21,117,1,12003213,33011110,1
21,120,0,213323310,12,0
22,11,7,5,3,7
22,47,1,0,232133023,1
24,45,125907,25,10,125907
24,89,1,8,4,1
24,91,8014,6,1,8014
25,44,2904,694,68,2904
25,46,19,2,1,19
25,47,4,2,120032232,4
25,54,52335,38125,6,52335
25,71,0,220102111,1,0
26,69,1,12003220,10211110,1
26,121,1,0,3213330,1
26,123,3213323,20122,26856,3213323
26,124,32313203,43236,66600,32313203
27,46,46,24,4,46
27,47,4,1,0,4
27,103,13,5,17,13
27,123,232,380,8,232
28,69,102746,3,9,102746
29,25,169651,96911,13,169651
29,102,9163,4466,3,9163
29,110,120032201,303220,83648,120032201
29,121,322010300,330,134,322010300
30,19,0,322133203,194032,0
30,61,0,32232203,3330,0
30,76,88,3,6,88
30,101,10312330,112990,144348,10312330
30,103,7828,6,12,7828
30,115,70269,74364,4,70269
30,116,6,2,6,6
30,123,101192,10371,8,101192
31,90,126292,57483,3,126292
31,110,0,32201030,3233,0
31,113,201030321,3,5,201030321
32,69,72609,99692,5,72609
32,111,1,0,201030330,1
33,13,5,8,4,5
33,67,1,12003220,11333030,1
33,68,0,220113200,2,0
33,69,3220113,11330,1008,3220113
33,83,2,2,0,2
34,70,11311221,11317,2324,11311221
34,82,10,6,1,10
34,111,2,1,120032201,2
34,126,6,3,2,6
36,44,14,9,6,14
36,110,1,1,0,1
36,127,6,25,3,6
37,57,43,10,120032232,43
38,28,322322132,311,989,322322132
39,61,3,0,232203333,3
39,92,12,3,1,12
39,99,4,7,2,4
39,109,3,1,1,3
41,15,2388,685,28,2388
41,24,1,200322322,133302,1
41,43,17545,13,1,17545
42,37,3223221,1012,2455,3223221
42,48,56,22,2,56
43,41,22101011,84770,84283,22101011
43,43,40063,13188,6,40063
43,92,9,9,4,9
44,36,0,223221010,13,0
45,12,120032232,2211121,15958,120032232
45,14,232221111,3,9,232221111
46,11,0,32232221,1130,0
46,87,201122301,2,1,201122301
47,96,445,3,1,445
48,10,27,7,120032232,27
48,11,9,0,232221113,9
48,106,1,12003220,10321313,1
49,10,331,46,1,331
49,11,76,9,1,76
50,35,251613,6,1,251613
50,114,3220103,13211,65260,3220103
51,48,2,12003223,22101101,2
51,86,0,32201123,1101,0
52,64,2,1,0,2
54,48,1,0,3223221,1
54,112,0,220103213,11,0
55,86,5,0,201123222,5
56,91,120032201,1223333,101691,120032201
57,11,63194,4033,7,63194
58,49,2,2,0,2
58,105,1,1,0,1
58,106,2,0,3220103,2
59,25,2,2,2,2
60,32,1,0,322322133,1
60,40,17,591,5,17
60,44,5,4,1,5
60,104,12,2,1,12
60,105,10,4,2,10
62,32,1,1,0,1
62,87,2,1,120032201,2
62,125,34,1,1,34
66,20,24,2,1,24
67,19,8368,6,3,8368
67,40,242052,285988,3,242052
67,47,6,2,1,6
67,125,2352,59,3,2352
69,43,3,0,232212221,3
69,103,35,1,1,35
69,104,1,0,3220110,1
69,105,0,220110202,11,0
70,104,1,1,0,1
70,105,1,12003220,11020231,1
70,106,3220110,20132,92203,3220110
70,123,555,511,3,555
71,16,0,322301022,39939,0
71,17,5,4,0,5
71,103,206152,3,9,206152
71,104,3,1,1,3
72,17,8,4,3,8
73,15,1,200322322,301200,1
73,51,1,0,322322122,1
74,45,1,1,120032232,1
74,58,1,200322322,122030,1
74,73,104440,10084,4,104440
77,48,120032232,2122211,248948,120032232
77,121,91133,23910,23,91133
78,48,0,32232212,2212,0
78,49,232212221,0,4,232212221
78,51,3,3,0,3
79,49,20,9,0,20
79,51,4,12,2,4
79,127,103997,4,6,103997
80,8,6,2,0,6
80,46,22122232,115231,94767,22122232
80,47,68544,93544,7,68544
80,48,3,2,1,3
81,10,2,0,322322301,2
81,32,2,0,3223223,2
81,48,89,11,27,89
81,117,2,200322010,332011,2
81,119,0,10331310,113966,0
81,120,322010331,212,407,322010331
82,48,68835,13,11,68835
82,54,2,4,3,2
83,61,322322121,300,112,322322121
83,69,322012110,221,812,322012110
84,37,3223221,22322,5348,3223221
84,117,1,0,322010332,1
85,62,0,322122023,90278,0
86,116,11020123,143250,98708,11020123
88,81,739,744,5,739
89,126,8,3,2,8
90,40,4,1,1,4
92,117,201033223,0,9,201033223
93,84,5,1,1,5
94,25,11,7,3,11
94,122,106497,14113,98,106497
95,35,90440,4,3,90440
95,45,0,223221223,23,0
95,76,1,200322012,110311,1
95,77,0,12110222,59518,0
96,91,1,1,0,1
96,99,1,0,3220120,1
98,109,82534,79969,5,82534
98,110,172,624,12,172
98,125,9,5,4,9
99,43,1,12003223,22123223,1
99,119,1,1,0,1
100,28,84680,4,2,84680
100,44,3,2,0,3
100,80,1,0,322012110,1
101,43,23,15,2,23
101,117,3,7,2,3
101,121,0,32201033,3321,0
101,123,120032201,333211,102778,120032201
102,28,568,685,5,568
102,111,322011022,331,713,322011022
102,119,31,82,1,31
102,120,2,2,120032201,2
103,119,102202,6,2,102202
103,121,1,0,201033332,1
104,26,31946,78268,3,31946
104,63,5,5,6,5
104,64,5301,13,5,5301
104,80,1,1,0,1
104,91,4,2,1,4
104,117,27082,52053,35,27082
105,47,1,0,3223221,1
105,63,155831,167642,5,155831
105,106,1,200322011,100200,1
106,20,322322300,213,516,322322300
106,74,3,3,3,3
106,105,3,1,0,3
106,106,1,0,322011110,1
108,40,659,529,5,659
108,74,1710,4,3,1710
108,108,0,11023221,68837,0
109,77,3,6,1,3
109,89,36161,22,2,36161
110,83,38628,18,1,38628
110,84,8,4,3,8
110,123,214128,247432,11,214128
111,69,8,4,1,8
111,126,31102200,116157,123464,31102200
112,12,76880,4,4,76880
112,38,4,5,3,4
112,126,3220311,2201,52125,3220311
113,69,90195,5,3,90195
113,71,6,1,0,6
