x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices
0,0,264162,148044,6,25,10
0,2,266110,141697,7,11,8
0,3,210323,134894,12,36,8
0,4,217595,182515,8,36,8
0,5,152359,95618,4,5,3
0,6,249404,32279,11,11,2
0,7,137055,135046,6,24,7
0,8,287836,174222,13,11,4
0,11,212283,121756,13,7,4
0,13,59489,54270,9,5,3
0,15,199257,146552,6,17,7
0,16,239448,120409,11,37,7
0,17,182727,110397,15,31,6
0,18,384925,85686,15,25,10
0,19,129132,69894,7,5,3
0,21,471985,456592,4,1,1
0,22,276860,271293,3,60,7
0,23,129591,124608,5,16,7
0,23,34944,25560,14,2,2
0,24,285230,277154,4,6,4
0,25,115852,181230,13,5,2
0,26,180511,112173,9,15,5
0,27,197467,102308,6,6,2
0,28,104643,74579,12,2,1
0,29,239721,209031,5,4,4
0,30,186122,175766,17,9,4
0,31,380858,246827,5,9,5
0,32,84580,94634,15,15,6
0,34,35898,14914,9,6,2
0,36,106533,67738,8,36,5
0,37,145683,109451,6,1,1
0,43,454548,403040,12,20,3
0,44,278296,193232,13,22,7
0,75,85369,90312,6,23,8
0,76,241151,152990,5,72,6
0,77,44329,9693,4,5,1
0,78,246012,139353,9,11,5
0,79,137042,90254,11,28,5
0,80,137608,123795,6,8,4
0,89,102484,104492,3,1,1
0,90,64497,74397,4,3,1
0,104,273751,230085,6,8,2
1,0,258364,149254,6,25,9
1,1,184780,197184,5,13,11
1,2,228539,102836,11,12,7
1,3,175058,159804,8,21,5
1,4,217355,166625,6,35,5
1,5,425468,172748,7,13,5
1,6,213355,138790,6,21,6
1,7,128448,113773,3,1,1
1,8,164610,164453,10,14,6
1,9,297300,95120,9,2,2
1,11,297631,167890,4,2,1
1,12,157409,103682,8,7,2
1,13,174969,134800,10,83,8
1,14,428463,48910,15,2,2
1,15,241960,237974,3,1,1
1,16,163565,105481,11,6,3
1,17,234530,126762,8,29,14
1,18,204433,168207,5,15,2
1,19,175434,110752,13,25,5
1,22,196869,79033,9,9,3
1,22,292086,243894,4,3,2
1,29,26820,41235,6,1,1
1,30,278417,233102,6,6,4
1,31,144878,215105,5,11,2
1,36,234978,91656,12,85,5
1,37,223636,76956,12,17,4
1,39,324754,96919,16,6,1
1,42,130433,56499,12,18,7
1,43,31795,13556,35,2,1
1,44,104636,114106,15,1,1
1,46,97409,94153,41,2,1
1,78,134581,2980,4,1,1
1,79,256598,150356,8,10,4
1,80,278679,168873,9,13,7
1,86,172325,139077,6,17,7
1,87,253386,116310,14,48,7
1,103,148406,107619,11,4,2
1,104,223962,165924,12,21,9
2,0,373018,187387,11,2,2
2,1,128070,122374,5,14,5
2,2,297916,151695,6,17,5
2,3,202388,125409,11,21,10
2,4,176189,120432,12,15,7
2,6,130794,49697,3,1,1
2,7,257098,177189,6,55,6
2,8,394518,239255,10,12,5
2,9,338481,214093,7,12,3
2,30,191793,149582,12,7,5
2,31,209170,207298,3,3,1
2,36,215130,187395,14,16,5
2,37,244041,76584,14,26,15
2,38,111468,108961,3,1,1
2,39,93507,88151,9,6,2
2,40,123404,63040,20,6,1
2,41,75616,31760,19,7,2
2,81,206149,119252,6,30,8
2,85,142912,84818,11,17,4
2,86,213591,118163,10,12,4
2,87,287995,223560,4,25,5
2,92,144534,71060,57,4,2
2,93,291673,113824,10,31,10
2,94,116571,119060,4,14,3
2,95,288232,232895,6,20,11
2,103,140243,163795,4,3,1
3,0,151756,103824,11,15,10
3,1,227320,129135,11,6,3
3,2,242542,158467,11,14,4
3,3,145626,158103,6,22,7
3,4,122474,72194,16,10,3
3,6,322926,110422,9,12,4
3,7,120440,69008,23,11,6
3,8,226258,94380,9,134,9
3,9,342882,156562,10,16,3
3,30,174472,87735,10,26,7
3,35,261358,57102,20,2,1
3,36,220739,88910,11,13,8
3,37,74376,71433,6,6,2
3,38,204289,113691,7,10,3
3,39,152775,36812,12,2,2
3,82,214325,153929,11,9,3
3,84,161974,48369,12,4,3
3,85,442198,109451,14,2,1
3,86,174679,216725,8,28,6
3,87,182476,37981,31,3,3
3,93,191296,164026,10,58,8
3,94,283783,94424,12,15,7
3,95,234049,185154,8,20,6
3,96,69497,92934,7,1,1
4,0,372984,265427,5,2,2
4,1,288647,158770,8,27,7
4,2,181857,126340,10,36,8
4,3,221213,121274,8,9,5
4,4,164978,137579,6,18,9
4,5,347745,199416,4,73,6
4,6,208886,75552,11,35,13
4,7,282874,145591,10,14,7
4,8,195674,90362,11,24,8
4,9,116867,72702,13,5,2
