x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
29,107,183425,27943,51
50,116,124165,13302,58
51,113,58015,9314,48
51,114,136042,13663,47
51,117,28761,7621,57
51,119,20301,12035,82
52,113,55340,10425,46
52,116,20094,9058,83
53,114,60991,8729,26
54,113,59452,12775,34
54,114,22310,15675,33
55,113,27916,20812,51
56,110,175613,21542,42
56,111,121053,5434,32
56,114,39442,21959,26
57,113,57374,29311,109
57,114,37747,14133,34
58,111,29625,12071,43
58,113,194077,18281,52
59,111,36345,11555,39
61,111,100087,16384,43
62,110,48137,7727,33
63,110,6766,1986,25
64,108,74144,15807,30
65,76,155035,10103,44
65,107,70244,9140,36
66,105,8101,3249,87
66,107,5687,284,38
67,104,22657,11920,44
67,105,63835,21629,60
68,102,135446,46140,31
68,104,19021,10139,5
69,102,48048,24547,33
70,101,34514,5749,13
70,104,25400,9785,34
70,105,9938,4690,63
71,102,65626,13938,6
71,104,3403,3837,101
73,98,38047,6761,81
79,70,202994,25789,74
79,110,12786,7770,23
82,57,7809,1685,112
84,61,13583,4010,33
85,64,6159,2453,22
86,69,10218,14997,19
90,74,6854,5585,32
90,85,16708,3199,17
91,89,8624,2375,26
94,73,23112,6978,17
94,94,9627,5571,13
95,101,27883,41925,7
97,36,165891,15290,48
