x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
0,120,1,0,201211113
2,97,60,1,1
2,99,42,45,1
2,108,36,1,1
2,111,1,1,0
2,112,1,0,332012113
3,95,11833,44,3
3,96,59,31,1
3,111,3,1,1
4,94,12132310,128075,23119
5,100,11654,40,3
5,115,23,7,1
6,115,139377,5,29
6,121,1,1,30233201
7,96,23320121,32311,40918
7,101,0,320121232,32
7,118,12112211,378962,415874
8,115,3,3023320,12112312
9,92,0,320121323,33
9,100,1,0,23320121
9,102,1,3023320,12123301
9,121,42529,78368,6
10,115,2,0,23320121
11,105,12123201,215515,13076
11,106,34100,25620,25
11,113,6304,11,1
11,114,4,1,0
12,91,1,3023320,12133231
12,107,2,1,30233201
12,113,8,8,0
12,114,538145,13,3
12,119,0,320121123,10
13,114,729,178,9
14,85,1,1,0
14,86,1,0,23320121
14,106,23320121,23220,57732
14,111,0,233201212,1131
14,113,27664,3134,10
14,121,23320121,12232,23157
15,107,3,1,0
16,86,22,1,1
16,111,3,0,201212130
16,112,201212112,0,8
16,112,30233201,2121122,283391
16,114,332012113,311,961
16,115,189604,267756,10
16,116,2,1,1
16,117,4,5,1
17,107,4,2,1
17,109,2,1,0
17,112,175519,193386,29
17,113,56104,11,1
17,114,26,1,1
17,115,1,1,0
18,113,377,315,27
19,112,332012130,21,166
20,107,9,13,1
20,114,31,1,1
23,113,0,12130022,154454
24,85,43,5,2
24,113,1,302332012,130023
26,113,1,0,332012130
28,84,10722,37,13
28,112,30,13,13
30,83,201222030,1,1
31,84,76,328,49
35,86,3902,46,1
35,87,3,4,2
37,86,9,7,9
37,87,32,4,1
37,88,0,12202221,17675
38,87,164481,33290,37
38,88,2,0,332012211
38,89,1,302332012,203220
38,92,332012202,1,754
41,95,73393,11791,32
41,112,4,1,7
44,65,0,233202331,2000
44,88,1,1,0
45,63,3,0,202331200
46,72,0,233201222,1211
46,78,30233201,2221133,86411
52,59,11,6,30233202
52,73,14,2,30233201
52,106,361486,352856,10
53,74,1,0,201223021
54,67,0,320233120,32
55,66,9,2,0
55,67,3,3023320,23312120
57,66,19,19,4
57,67,1,0,23320233
57,109,315955,16349,13
63,94,56,12,8
64,63,18,4,2
67,36,262057,28854,18
67,92,8842,11,1
69,61,711,833,9
69,63,11075,9,1
70,10,332023321,32,987
71,11,0,23321033,351483
71,62,171180,22187,9
75,106,202301210,3,8
76,41,202331231,2,5
77,96,39749,8636,12
79,41,30233202,3312320,404126
79,43,455499,39158,18
79,65,332023312,202,707
80,9,2,302332023,321100
80,124,8,2,3
81,71,0,320230122,13
83,11,3,0,332023321
83,49,7400,16,5
83,110,30233202,3012112,212034
84,107,0,233202301,2121
85,49,3,4,6
85,58,7,302332023,312213
87,77,23320230,12212,75178
88,6,0,320233320,0
88,78,23012211,149204,11039
89,5,4,0,23320233
89,6,3,3023320,23332001
89,56,1,1,0
90,2,18,2,1
90,8,4,3,0
90,40,2,0,202331233
90,43,0,233202331,2322
90,56,1,6,3
90,61,0,23312212,353671
91,6,3,2,0
91,7,3,4,2
91,56,15,1,1
92,2,11,31,4
92,2,29044,12,3
92,8,3367,17,2
92,106,2,0,202301212
93,2,797,786,59
93,57,3,0,332023312
93,106,1,1,30233202
94,56,2,0,23320233
95,40,0,23320200,173427
95,49,202332000,1,0
95,52,140999,21683,16
95,53,9,2,1
96,53,10,1,1
96,56,7,1,0
96,57,23313022,354868,11082
97,42,332023320,133,839
99,58,1,3023320,23313101
99,59,23320233,13030,10107
99,85,6,3023320,23012220
100,59,0,320233130,33
100,64,1,1,30233202
103,48,23320233,20110,41185
103,49,23320103,108517,15235
104,41,1,3,8
104,44,2,0,332023320
104,45,6,302332023,320203
104,46,16,23,7
104,47,15,15,6
105,48,0,320233201,12
105,49,6,0,202332001
105,73,50,6,3
105,79,15,11,1
106,47,28234,17,15
106,48,54,9,0
106,49,2,3023320,23320113
106,52,30233202,3320010,238533
106,58,10836,11,1
106,67,4,1,0
107,43,7,4,1
107,44,1,1,0
107,49,3,3,30233202
107,49,7,0,23320233
107,51,0,233202332,11
107,62,48745,17704,11
108,45,20,3,1
108,48,173884,12913,19
108,49,93320,27035,16
108,49,759,775,21
108,63,20967,10,1
109,45,5557,20,13
109,51,9,5,0
110,39,287318,24140,20
110,54,0,23313201,30639
110,60,648,989,11
110,72,16714,13,9
110,83,3,1,0
111,51,57,16,6
111,67,13,14,3
112,51,18879,29,9
112,52,17,2,2
113,46,5,1,30233202
113,49,202332031,1,5
113,55,332023313,133,514
113,57,201957,10481,12
113,66,74,12,2
114,53,1541,11,1
114,59,3,0,332023313
115,53,1,2,0
115,59,2,1,0
116,25,16,9,4
117,74,243453,16286,11
118,36,7,2,3
118,57,0,1,1
119,81,967,206,15
120,48,2,2,0
120,50,0,233202332,322
120,51,30233202,3320313,245874
120,57,18,3,2
120,84,7,0,23320230
120,120,14,1,1
121,44,23321003,319431,20296
121,47,16,16,4
121,50,6,0,202332032
121,65,1,302332023,313231
122,44,23320233,21010,54658
122,122,6,2,0
123,44,0,320233210,11
123,47,32071,45461,17
125,39,70,9,0
126,42,3,0,23320233
127,43,4,3023320,23321012
