x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms,average
49,27,4,2,1,4
52,29,8318,12,9,8318
52,30,12,1,1,12
61,38,1,1,0,1
61,41,1,0,200122133,1
61,42,2,303200122,133200,2
62,41,3,6,5,3
63,47,0,1220230,30,0
64,47,1,3032001,22023201,1
65,41,235053,240237,15,235053
65,43,47,259,18,47
66,44,206017,11,2,206017
67,49,32001220,23022,51019,32001220
68,43,1,0,200122102,1
68,44,0,122102121,351414,0
68,46,189018,52965,33,189018
68,47,1,1,0,1
68,56,11,3,2,11
69,44,1,303200122,102211,1
69,47,29,1,1,29
70,43,3,1,1,3
70,44,7,2,0,7
70,47,24,1,1,24
70,48,1,0,32001220,1
71,43,32,4,1,32
71,45,200122101,332,548,200122101
72,52,359643,274628,33,359643
72,54,4,7,2,4
72,55,5341,17,15,5341
73,52,1,1,0,1
74,50,68,17,2,68
75,44,8,9,3,8
75,50,230221,16,5,230221
75,53,12,1,1,12
77,63,1,1,1,1
78,45,313616,265961,20,313616
78,53,29431,89432,10,29431
78,56,30320012,2012211,272991,30320012
78,62,11,1,1,11
79,57,12201221,0,9,12201221
79,58,338273,274669,20,338273
79,60,1,8,1,1
79,61,1675,11,5,1675
81,57,0,320012201,2212,0
82,47,5185,16,1,5185
82,50,22023021,184819,136986,22023021
82,54,6,5,30320012,6
82,56,1,0,12201223,1
83,61,17,2,2,17
83,67,10573,51,1,10573
83,69,98,3,3,98
84,47,12,1,1,12
84,47,8108,20,1,8108
84,48,16,1,1,16
84,54,0,320012210,3231,0
84,56,30320012,2103223,368085,30320012
84,57,12210322,0,4,12210322
84,58,21,2,1,21
85,45,200122121,310,653,200122121
85,62,1,3032001,20322021,1
86,62,1,0,32001212,1
86,69,0,89,8,0
87,47,368,990,24,368
88,47,509195,278512,13,509195
88,55,26,1,1,26
88,56,2,0,12210323,2
89,55,62,19,8,62
89,56,1,1,30320012,1
90,70,1,0,3331113,1
90,71,0,320003331,1112,0
90,73,3331110,2,0,3331110
91,53,26544,77238,25,26544
91,57,2,2,0,2
91,58,332,446,18,332
91,70,2,1,0,2
91,71,2,2,30320003,2
91,74,237713,14,3,237713
92,54,94885,21,1,94885
92,58,88809,104663,21,88809
92,59,374829,17,1,374829
92,64,1,1,0,1
92,73,30320003,3311103,61960,30320003
93,52,32001221,21001,72915,32001221
94,58,1,0,200122011,1
95,62,200122010,322,441,200122010
95,74,1,303200000,200102,1
95,75,0,131320,273268,0
98,53,0,1221210,10,0
98,66,0,1203220,3,0
99,50,6,3032001,22121011,6
100,60,7,1,0,7
100,69,33332231,32875,4472,33332231
100,72,68933,4701,188,68933
101,51,4,0,32001221,4
101,57,22112211,184615,198937,22112211
101,64,0,122011231,267853,0
101,78,354842,401218,8,354842
102,47,0,122132010,463158,0
102,51,1,1,0,1
102,59,3,1,1,3
102,63,1,303200122,11232,1
102,69,32001202,33111,62278,32001202
103,60,0,1230223,20,0
103,77,200000122,301,216,200000122
103,80,867,573,3,867
104,47,0,320013213,2122,0
104,54,3,0,200123333,3
104,69,0,320012301,2001,0
104,78,0,322323,21,0
104,81,2654,18,11,2654
104,82,11,12,4,11
104,83,3,2,2,3
105,61,32001230,22231,33129,32001230
105,65,248803,17,2,248803
105,72,12220010,2,3,12220010
105,77,1,0,32000322,1
105,78,1,3032000,32233020,1
105,81,2,4,8,2
