x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices
12,78,33148,19075,36,1,1
13,54,322050,333982,12,1,1
26,114,142809,142312,12,2,1
31,32,116126,98670,14,4,3
31,68,256241,319712,36,1,1
33,68,179865,241921,14,4,1
33,69,641477,606565,16,2,1
34,69,145830,135257,7,11,3
47,69,16031,12015,31,4,3
49,69,13494,4696,37,2,2
60,38,326,5,20,1,1
70,102,6162,696,58,1,1
71,102,25178,31247,11,16,2
71,103,33961,33428,12,1,1
74,21,3190,2099,228,1,1
76,27,9033,2435,21,1,1
79,95,20956,745,41,1,1
81,95,6859,413,53,2,1
86,18,2766,1145,81,1,1
99,51,60811,77868,9,1,1
99,76,306272,303947,20,1,1
101,74,75674,60730,8,1,1
108,82,298587,372615,17,4,1
109,81,428755,356240,18,1,1
110,87,7624,1314,102,4,1
125,48,38224,48258,16,1,1
