x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
49,46,33651,13546,13
59,58,41349,13586,5
63,62,16876,10456,10
64,63,51110,10608,4
65,62,22035,24648,11
66,62,26380,30931,10
67,63,21019,35158,10
70,66,35892,31291,11
97,88,20812,40776,13
99,92,7451,13100,33
110,8,21268,12353,13
111,5,26852,19368,17
113,0,7486,13675,15
114,103,27509,32728,12
115,0,295756,357637,17
116,107,30779,35819,13
117,0,92751,97268,17
120,2,24320,43615,10
120,10,7117,13350,9
121,3,28698,28498,15
121,114,18547,34603,14
122,10,28419,13252,12
124,5,30579,40669,10
125,5,25096,33486,10
125,6,27561,25382,10
127,3,27554,29693,9
127,5,31201,29675,10
