x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
0,27,208609,45880,12
0,28,83135,17327,14
0,29,136454,33841,16
0,30,70294,33326,16
0,31,45486,11539,19
0,32,40925,9102,27
0,33,63506,7504,53
0,39,5409,432,33
0,50,28216,28444,18
0,51,18854,1244,29
0,54,64293,9794,10
0,55,12729,14941,9
0,60,101125,19924,20
0,67,127614,49281,13
0,86,148294,30984,12
1,19,34416,10261,15
1,25,15108,5965,17
1,28,60081,14649,14
1,29,159723,31487,14
1,30,135277,29860,16
1,31,39809,5476,22
1,33,25517,6700,48
1,34,28513,9810,33
2,19,55455,8438,15
2,20,73504,18356,11
2,29,137801,36015,18
2,30,79826,16940,21
2,31,276676,59947,11
2,34,3898,748,77
2,46,30182,17659,29
2,77,142530,53581,15
2,84,81049,23465,13
2,85,10795,744,19
2,86,76022,18477,37
3,19,72527,18218,14
3,20,56374,13354,15
3,26,194,935,848
3,29,171904,37911,14
3,30,152023,52346,14
3,31,92321,18801,13
3,56,20648,22330,10
3,70,43059,9372,19
3,84,38303,30724,12
4,41,58524,64809,11
4,60,1651,4131,60
4,85,79807,17986,12
5,13,222781,96333,14
5,18,12940,9711,15
5,19,51444,10257,18
5,29,7332,589,31
5,30,37798,11799,16
5,62,1494,2607,66
5,68,12867,11911,67
5,79,6026,1140,23
5,82,6855,443,34
6,4,1073,240,141
6,5,2604,275,37
6,18,27561,4583,16
6,19,22501,2888,15
6,30,262502,66031,12
6,34,6283,6700,22
6,49,30586,11639,20
6,50,37233,9202,79
6,57,167993,16334,32
6,61,164774,9707,37
6,79,13671,4027,15
7,10,103653,34518,18
7,30,240608,47580,13
7,59,112805,31953,12
7,60,49489,17445,13
7,84,9289,1015,17
8,7,61132,21004,11
8,38,643,350,186
8,61,59784,16738,12
8,62,17383,3926,61
8,71,3304,3589,45
8,77,48457,7830,16
9,15,149305,30714,12
9,16,304304,59230,16
9,17,6010,1604,43
9,44,60115,15538,30
9,45,49785,15456,18
9,55,34742,68152,12
9,56,31707,6753,16
9,65,91003,27752,12
9,77,43340,19098,21
9,78,45244,11512,18
9,80,23073,6103,17
9,81,32436,6774,16
10,46,25749,4737,22
10,56,17948,2806,34
10,57,52268,17012,17
10,64,9700,2658,77
10,78,62614,17964,18
10,79,44833,17928,44
10,80,60558,15588,16
10,81,36763,10571,15
11,78,41170,17734,28
11,79,50280,13421,21
11,80,50009,10241,27
12,1,34493,8395,11
12,14,46775,22107,13
12,23,33965,21040,11
12,34,87487,21262,45
12,34,146234,30600,11
12,36,35001,21282,14
13,2,43245,13288,11
13,10,11457,4674,87
13,14,149058,31013,13
13,25,148267,30716,11
13,78,58590,13775,16
13,79,32910,9670,27
13,80,50808,24512,18
14,1,51113,10760,13
14,2,87033,16328,15
14,4,19842,1241,16
14,52,217907,55321,12
14,60,10515,242,31
14,61,62575,12089,24
14,76,66372,50661,20
14,79,65014,10371,35
14,80,12211,280,66
15,1,55495,14300,15
15,25,22868,505,122
15,42,24018,1034,32
15,53,109657,21532,13
15,55,55151,13622,14
15,56,59282,13945,17
15,57,64756,21157,13
15,58,39526,17200,23
15,65,19273,6988,13
15,69,59113,7454,62
15,70,106412,17829,42
15,71,6079,3399,80
15,72,11999,2901,15
15,73,24196,7526,22
15,74,16355,5617,61
15,75,9944,797,33
15,76,35735,8025,15
16,22,59845,20441,12
16,25,43643,10059,15
16,26,27974,6061,16
16,27,30056,10391,14
16,53,35745,6725,15
16,55,81758,17824,16
16,56,47468,13098,15
16,61,8122,2903,51
16,63,9324,1818,664
16,64,4654,1506,25
16,66,3799,270,125
16,68,3966,4495,62
16,70,4142,3527,62
16,71,17349,3429,34
16,72,50144,12315,19
16,73,56407,14785,78
16,74,36636,10397,53
17,9,102098,2343,51
17,22,51506,22473,16
17,25,32048,18723,14
17,25,73500,18770,17
17,27,68083,18469,14
17,52,1284,464,56
17,61,8056,9222,15
17,62,16031,15777,16
17,63,34808,7700,17
17,64,3884,1444,39
17,69,10584,6228,62
17,71,17175,4634,21
17,72,29563,6007,25
17,73,56787,14866,15
18,1,24141,5747,72
18,10,18525,3818,21
18,17,214421,39194,12
18,25,13565,2798,175
18,27,5391,6049,48
18,35,63702,11305,24
18,36,196336,70425,15
18,37,50950,8861,15
19,1,34359,6007,13
19,10,29310,9133,22
19,13,8660,2197,16
19,14,56313,9154,19
19,23,82022,25193,15
19,24,15561,10444,14
19,25,335075,108060,12
19,62,90043,18392,59
19,71,19654,2304,24
20,0,55200,14056,15
20,1,24523,4748,21
20,34,36761,4708,15
20,35,45955,13138,16
20,36,100401,23679,13
20,37,61282,14773,18
20,54,91996,25390,11
20,60,17992,3610,15
