x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
7,6,22372,11974,24
7,8,38003,25436,20
8,8,24474,11388,19
8,10,31706,10454,8
10,8,29087,10917,9
13,3,2147,279,13
14,3,662,1546,12
15,33,2844,1349,15
16,13,13216,30371,9
16,33,4465,1554,12
17,13,1603,1065,26
19,115,24879,9093,24
21,115,28568,11181,17
29,67,22761,20740,11
29,68,15943,17564,12
30,68,1258,533,15
32,1,28131,7333,7
36,75,1726,512,10
65,38,1389,916,9
67,38,1778,464,11
94,127,29115,10549,9
95,124,20884,6994,9
95,125,28718,10519,9
95,127,33677,11076,9
102,31,2786,860,8
103,62,10037,10322,9
104,33,33072,18411,7
104,43,12398,7584,9
104,45,8474,9378,7
105,37,37500,17992,7
105,38,19831,7320,8
