x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices
1,1,12472,2255,28,1,1
1,3,7984,2189,13,4,1
2,50,10019,2848,97,1,1
4,84,54951,18713,38,10,1
5,81,15723,4118,15,1,1
6,9,11628,2012,31,4,1
7,10,6646,1859,78,19,4
8,10,5667,1856,67,25,2
8,89,322133,355725,12,29,4
8,91,149034,134391,15,45,10
8,93,318781,265287,10,7,2
9,88,8484,4675,39,11,1
9,89,12036,6282,38,1,1
9,90,199814,243946,10,38,7
9,92,140230,139081,12,10,5
10,11,219931,198081,30,6,2
10,12,58075,70093,43,1,1
10,93,165843,187906,22,14,8
10,95,531445,440214,9,1,1
11,93,275072,263739,26,30,10
11,94,200684,192023,13,9,5
11,96,14692,7559,20,1,1
12,19,23267,29347,61,2,2
12,93,22702,35351,7,1,1
12,97,7715,12606,29,1,1
13,94,38486,35865,16,4,3
13,95,558485,402810,8,1,1
13,97,15161,10620,30,3,3
14,63,129240,168067,12,1,1
15,40,81553,119970,26,1,1
16,39,78108,102308,30,1,1
16,95,20081,13388,20,2,1
17,38,325290,286512,76,12,4
17,99,39043,27682,27,1,1
18,39,238563,272218,17,3,3
18,40,369101,291746,17,7,4
18,43,319063,272203,25,4,3
18,100,10940,2881,66,2,1
19,36,338366,393882,15,24,2
19,42,30278,26400,30,1,1
19,99,280838,232800,8,2,1
20,43,177325,154510,32,5,2
20,44,327512,247108,16,7,4
20,68,13703,880,170,1,1
20,89,24936,2165,18,1,1
20,96,29731,4890,22,2,1
21,66,4366,1263,31,1,1
22,52,394016,150319,32,1,1
22,101,25560,6488,32,1,1
24,27,10099,7634,49,5,1
24,95,29378,3881,28,4,1
24,106,44699,43124,14,2,2
25,10,1278,2206,157,1,1
25,59,12497,4403,27,8,1
25,92,1788,4544,27,1,1
26,27,30055,9764,32,4,3
28,15,24077,4379,32,1,1
28,107,14781,4897,21,1,1
29,21,20350,3767,24,4,1
29,22,47905,48444,27,2,1
29,90,15718,2803,25,6,1
29,108,2572,1474,27,1,1
30,19,94897,95155,29,31,8
31,20,192976,154756,32,164,17
31,22,287479,125810,29,2,2
31,30,15724,728,30,7,2
31,108,22206,6002,95,2,1
32,20,202936,144594,27,8,3
32,94,24432,2415,21,1,1
32,102,29444,3754,20,2,1
33,85,17084,2906,19,2,1
33,90,12708,8088,24,12,1
33,98,12461,2028,57,3,2
33,99,17803,8615,21,8,3
33,112,49405,10193,17,1,1
33,113,52110,5767,27,1,1
34,23,93341,89411,28,16,6
34,114,17948,4827,22,1,1
35,24,262981,252504,34,33,3
35,28,11058,4280,59,3,2
35,104,5060,4082,58,4,2
35,111,15906,2145,74,2,1
36,25,59299,44081,30,3,2
36,93,22645,9575,20,1,1
36,103,19879,4528,26,1,1
37,25,127134,120503,37,6,4
37,26,234003,252562,27,2,2
37,28,156044,158517,28,2,2
38,23,17426,33324,46,1,1
38,25,223934,216154,30,11,5
38,26,193196,132509,31,37,10
38,82,36567,47314,18,1,1
38,83,292160,313081,15,2,1
38,85,16865,3910,115,4,1
38,117,30612,14801,21,5,2
38,118,43927,36364,19,2,2
39,28,11133,1424,43,2,2
39,83,38181,43590,18,1,1
39,112,15485,18019,20,1,1
39,119,384943,201873,20,3,3
39,121,162987,150769,36,2,1
40,25,193307,196748,29,26,7
40,72,26652,1584,411,4,1
40,88,272631,263783,17,1,1
40,111,83475,19396,14,1,1
40,112,49164,37626,39,1,1
40,116,74023,156727,37,2,2
40,118,83366,78957,6,1,1
40,119,224501,206757,14,27,7
40,120,219957,181565,17,41,17
40,122,271643,171608,16,8,5
40,123,202649,203436,12,11,5
40,127,232362,255073,51,2,1
41,87,295623,312660,14,1,1
41,109,80525,85929,21,2,1
41,115,258395,260067,26,2,2
41,116,103305,91826,20,4,2
41,119,96845,117491,23,10,2
41,124,18783,8595,27,4,4
42,120,335130,163897,15,5,4
42,122,252800,189780,17,86,23
42,123,250008,217320,13,116,25
42,124,183231,190396,11,35,7
42,126,263810,262563,10,4,4
42,127,298828,304654,9,13,4
43,27,23614,11432,48,2,1
43,88,55470,47185,18,1,1
43,89,61815,85784,22,19,2
43,110,17608,3794,30,6,1
43,112,293608,280688,16,1,1
43,113,293486,308981,14,1,1
43,117,6062,1767,39,2,2
43,120,287579,193538,20,23,9
43,121,267766,237307,20,25,8
43,123,312981,251971,18,29,9
43,124,218192,167017,18,44,19
44,89,180803,245181,17,1,1
44,114,348965,372222,16,3,2
44,117,3692,2508,50,1,1
44,120,344994,285541,14,18,9
44,121,294733,251852,13,5,2
44,125,238052,243666,13,54,16
44,127,22377,16031,33,11,3
45,96,260575,225295,18,20,5
45,97,219924,243331,17,2,1
45,113,66917,53334,10,1,1
45,115,48057,58263,16,1,1
45,118,58621,77202,24,2,2
45,122,343491,252661,16,34,8
45,124,21368,3943,40,1,1
45,125,221735,189665,16,73,21
45,127,322397,271598,6,17,1
46,53,13456,6698,19,10,5
46,93,234856,278143,21,2,2
46,108,936,869,47,1,1
46,114,469552,507467,15,1,1
46,115,15238,17274,21,2,1
46,121,365805,306580,8,1,1
46,125,240326,212436,32,91,14
47,28,7688,1220,66,2,1
47,47,26327,22072,33,1,1
47,87,17609,3204,9,1,1
47,90,293956,296186,17,1,1
47,96,248966,268708,20,8,3
47,117,50618,11543,32,2,2
47,118,129695,100525,15,7,2
47,119,259465,270964,20,1,1
47,122,40453,5804,28,2,1
47,126,174649,179436,25,49,9
48,86,12727,7578,23,2,1
48,114,155608,157924,33,3,2
48,115,128699,98152,55,3,2
48,119,32599,7885,14,1,1
48,123,91462,41377,16,1,1
48,125,28681,11217,22,112,3
49,31,19505,16889,38,2,1
49,93,76842,4368,15,1,1
49,111,299463,165991,15,1,1
