x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
0,1,805282,35277,10
0,8,715875,35343,10
0,11,318788,53754,10
0,13,94027,23334,10
0,20,234007,47899,18
0,21,313374,28398,13
0,96,99115,28591,11
0,118,91453,90368,10
1,8,211466,31959,10
1,10,545013,68361,11
1,11,274303,57240,9
1,13,222263,35651,9
1,18,59871,39115,10
1,21,94461,37801,10
1,65,73339,44496,9
1,68,128270,35403,12
1,70,93705,15163,9
1,105,340722,36964,9
2,10,221511,34285,9
2,18,811447,43842,19
2,20,103742,57828,10
2,23,586447,34478,8
2,64,70372,121383,7
2,92,50056,11556,14
2,95,90846,37910,11
2,111,33133,31149,12
2,115,175438,19881,8
2,117,346112,17974,11
2,120,143416,25039,15
2,121,883906,129743,12
3,5,224688,36039,9
3,11,349528,34946,11
3,20,494299,49384,9
3,21,450508,35277,9
3,26,634426,104486,8
3,33,92803,35116,9
3,61,35479,52757,11
3,62,83793,38192,9
3,93,752513,34861,11
3,112,176405,49173,9
3,117,184490,27400,11
4,7,272352,33609,8
4,8,842614,36587,11
4,11,94013,23775,9
4,16,94923,23412,10
4,17,422608,24534,10
4,23,395450,50677,13
4,35,117314,22961,10
4,36,52398,26767,10
4,62,87944,35747,10
4,67,388755,34665,12
4,74,230404,261282,12
4,77,163679,37396,11
4,109,232440,36788,9
4,115,394983,48741,9
4,123,410321,19473,11
5,5,66939,24269,10
5,10,335821,35851,9
5,14,509647,31484,12
5,23,759899,35628,9
5,60,35291,18092,14
5,65,35958,20033,14
5,73,229648,34345,10
5,74,58298,23906,10
5,76,88899,30494,13
5,106,78000,36106,9
6,11,813155,35845,14
6,14,577505,34369,11
6,16,264254,35988,9
6,65,260155,29508,11
6,70,682754,34842,11
6,118,417280,35072,10
7,13,133515,35282,10
7,60,38007,5380,12
7,67,665250,61916,23
7,109,9281,7951,10
7,114,37431,44394,13
8,13,244824,29577,10
8,14,522105,26622,11
8,38,384512,34770,10
8,74,580974,35081,9
8,106,55145,91310,19
9,18,79434,23594,9
9,27,548977,14333,42
9,52,90120,38690,9
10,17,371818,34927,11
10,26,344427,34567,12
10,80,725460,113283,8
10,82,90877,94004,28
10,109,70288,46093,12
10,114,91181,74800,13
10,123,407966,33658,10
11,11,116665,126730,14
11,18,211958,35270,10
11,21,657388,30059,9
11,61,327625,32682,10
11,74,28634,21264,10
11,77,305532,271805,10
11,79,46817,48445,10
11,83,83710,8701,11
11,101,25998,33817,9
11,111,179267,44655,9
11,121,34443,27882,16
11,124,445699,33876,11
12,13,275057,30058,10
12,14,386997,33377,10
12,33,374033,34439,9
12,46,308990,34943,9
12,74,62436,65218,10
12,79,94022,94743,11
12,80,31760,29943,16
12,84,166448,168182,15
12,106,501015,34370,8
12,121,130233,61945,15
12,125,98429,105483,11
13,11,398300,35182,9
13,14,461346,34931,10
13,16,150001,86910,11
13,73,74067,60304,13
13,77,649907,117933,21
13,86,92668,37200,11
13,96,592549,35327,9
14,7,13732,1423,21
14,11,43811,26209,9
14,13,488251,33772,11
14,40,392452,36618,10
14,74,99339,33044,10
14,79,187755,49498,12
14,82,94170,35215,11
15,52,428688,34846,10
15,71,357434,236266,9
15,80,46092,24021,13
15,121,46863,26073,11
16,38,635090,108139,9
16,39,43833,24640,15
16,46,186020,32853,12
16,76,77627,21271,9
16,82,375713,70498,14
16,84,100589,59677,10
16,99,281400,23308,9
16,121,93375,27390,18
16,125,4975,52109,12
17,35,846060,97196,12
17,48,431734,34260,11
17,49,262389,32490,12
17,77,121623,15812,11
17,79,94084,35929,9
17,83,268222,110403,15
17,109,19452,59700,20
17,115,685717,126119,10
18,77,94289,34510,10
18,79,113555,79666,10
18,83,320152,166695,10
18,84,67171,52711,13
18,96,687168,29675,9
18,111,386865,58069,10
18,112,350100,34925,11
18,120,27683,15470,22
19,33,382684,32286,11
19,35,476242,33901,9
19,43,480589,41964,10
19,46,35562,39301,13
19,79,13406,17286,14
19,80,94189,34630,13
19,112,348788,87459,12
19,127,9134,9276,10
20,1,93366,35401,8
20,29,372912,61636,10
20,32,130918,28416,10
20,43,403063,34232,13
20,49,52657,38103,13
20,67,542199,35136,10
20,80,51526,34087,35
21,45,489746,34804,10
21,74,93433,94244,14
21,101,73212,68885,8
22,76,92554,93428,10
22,80,42575,47285,11
22,120,82353,35811,10
22,125,94464,93680,11
23,52,516139,35097,11
23,77,49360,20456,13
23,80,37852,53076,12
23,118,68429,36859,10
24,73,28088,17155,11
24,77,54519,23790,24
24,79,41315,34218,10
24,120,61115,37962,10
25,33,90597,24174,16
25,61,4332,5672,10
25,73,256598,64750,11
25,74,158274,21081,12
25,76,10465,5718,15
25,83,345725,212865,19
26,70,62712,23305,11
26,74,175407,24448,12
26,76,138506,25374,9
26,77,167046,53752,11
26,80,389595,80768,13
27,67,131367,29195,13
27,71,37294,17595,10
27,76,74570,35098,11
27,77,287660,110907,17
27,79,176033,51561,10
28,70,52480,29577,10
28,73,196776,35842,13
28,74,127109,24943,11
28,77,343930,41268,13
29,70,235586,34591,10
29,71,415424,142158,12
29,74,39815,58016,18
29,79,89756,31206,7
29,86,170324,26364,10
29,115,280082,46263,12
29,118,427158,34251,11
29,123,387880,72126,11
30,68,694343,186928,21
33,45,274638,32448,11
34,114,330711,38240,11
35,111,87074,53803,10
35,112,599907,114225,12
36,42,63293,76549,19
36,109,55801,58027,14
36,112,473934,33918,14
37,40,238867,20430,11
37,114,159425,39831,8
38,21,70868,57404,16
38,117,81350,35318,10
38,120,417127,34829,10
39,120,175550,66379,10
40,17,117876,23499,10
40,77,76134,23517,10
40,127,45237,66061,14
