x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
59,92,43059,9014,56
67,123,51184,51460,2
67,125,72535,80708,3
68,126,93333,114400,3
68,127,9277,8536,14
74,83,41647,55525,5
80,81,201739,118845,7
80,82,161967,231292,6
80,83,5025,599,20
80,84,32111,23431,6
80,87,28471,27466,6
80,88,67880,73338,7
81,81,40926,46240,5
81,83,84193,86190,7
82,80,24289,43482,5
82,81,35614,56023,5
82,87,38346,41931,7
83,82,19932,10234,5
83,118,70246,75131,3
91,71,48753,39895,7
94,47,7121,169,192
95,47,33681,8475,131
97,71,119433,134132,5
97,75,213181,94107,5
99,78,41516,44474,11
100,75,31557,45452,5
100,78,24678,41695,23
100,79,40154,41453,7
102,71,46965,57292,6
102,72,13172,14870,7
102,73,43071,27763,4
102,75,185966,175424,5
103,71,61412,94092,5
103,73,52247,53841,5
103,76,20464,46138,6
104,72,60539,74337,9
104,73,17576,30791,5
104,74,57969,53750,5
104,75,50651,60073,6
104,75,68120,69629,5
105,72,59700,71291,5
105,74,36214,45047,5
105,75,44763,54246,5
105,76,83203,103903,5
106,70,31317,30663,5
106,74,146717,208763,6
106,75,27820,36876,5
106,75,6561,854,6
106,76,57102,55015,6
106,77,25143,25448,5
107,74,45201,49330,5
107,75,51221,67720,7
107,76,48577,62433,5
108,75,31515,32757,5
108,75,41061,93806,6
108,76,60136,72174,6
108,77,71366,67812,7
109,74,56440,63984,5
109,75,96547,77122,6
109,75,92622,130057,5
109,76,67304,85753,7
109,77,47796,50475,7
110,73,37366,43192,5
110,74,102291,81738,5
110,75,124402,153027,5
111,74,100318,99058,5
111,75,64994,76306,5
112,75,89119,88339,6
112,75,79826,75305,7
112,76,16180,8039,6
113,76,39116,51658,6
114,76,39406,31527,5
115,68,98356,84757,7
117,68,148323,111130,5
117,69,110134,105700,5
117,70,163270,157266,6
117,74,43719,39833,6
118,68,30850,41384,5
118,70,110660,92659,6
118,73,63516,93984,7
126,53,49538,40510,5
