x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
0,5,166331,9482,110
4,6,137445,12854,52
5,6,70409,10282,65
9,11,51068,3864,45
9,12,93801,21913,6
10,5,68889,6819,120
11,12,12137,3938,27
12,2,114776,9274,129
13,1,87723,5136,108
15,0,34234,7801,116
15,27,62051,86693,4
16,2,67385,6870,83
16,7,59128,2375,52
17,0,83492,7318,101
17,3,44969,2083,117
17,6,198539,12689,36
17,8,136654,7750,53
18,0,76925,5965,61
18,1,100734,11869,80
18,2,27959,3274,105
18,3,63511,8361,113
19,2,99949,4489,84
19,5,80106,5122,119
20,3,24893,9798,101
20,5,79873,6921,122
20,6,114980,9867,114
23,41,34846,17396,29
26,2,102343,9943,53
26,20,4329,2465,143
27,1,40961,3144,47
27,2,72091,10847,8
27,49,61585,23538,27
36,37,182247,9440,52
38,23,49696,18365,5
38,24,226937,209041,10
41,26,36494,4545,117
43,18,1269,520,69
46,24,34350,9642,91
50,29,120113,12738,104
63,67,36518,5995,53
64,68,12085,2946,63
65,44,77301,7950,78
65,68,4652,2744,63
65,86,104486,10411,95
66,44,104585,6867,81
66,87,107379,11335,117
67,69,170027,3921,81
67,86,46014,22567,38
67,87,38124,18746,18
67,88,100241,8968,66
68,44,38594,4728,52
68,84,150883,10986,111
68,88,38313,42327,38
68,94,42286,5815,65
69,87,19134,2186,46
69,95,185984,6821,87
71,45,82396,23218,52
74,85,36981,4381,131
75,84,127976,1414,109
75,85,101812,2120,97
77,78,20502,12383,31
78,78,26447,26628,27
79,79,17574,34296,26
84,47,140509,9891,79
85,47,169609,8120,71
95,61,201886,7850,101
103,63,123128,3006,62
106,79,191411,8910,70
107,79,68313,5584,112
110,63,135102,41784,6
111,70,98687,70764,6
112,69,87288,77176,23
113,69,69086,46894,5
114,64,60348,7857,69
115,68,22601,10658,82
117,69,113007,9130,53
123,62,36992,49792,9
126,63,135018,234755,7
126,64,50548,10578,5
