x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
0,54,168435,33557,19
1,0,147382,33579,17
1,52,229912,44246,21
2,47,108580,118288,15
3,42,402707,29308,19
3,51,215198,42909,23
4,39,347651,37537,26
5,52,61211,48633,19
6,34,447900,34236,22
6,40,445803,33524,17
6,54,77381,29407,18
7,16,40127,47973,21
7,70,605262,48407,20
7,98,55695,47819,16
8,46,51732,40641,16
9,26,78097,37358,22
9,98,80902,36775,19
10,47,86095,38758,20
11,31,94396,36843,19
12,50,32441,23912,23
13,50,818860,49299,14
14,50,330416,34621,16
14,60,81974,2799,28
15,32,95081,36605,19
15,111,71251,58112,26
17,59,19297,27016,27
19,0,252198,36635,18
19,20,575489,25060,15
19,22,46525,22426,19
19,48,251736,37111,23
20,47,51753,39836,18
21,4,56482,33780,17
21,51,241532,32174,19
22,3,353454,35610,19
23,3,240170,37388,15
23,123,26847,53815,36
25,1,453017,36471,21
28,66,93488,39271,18
28,68,9937,9897,21
29,56,93249,25451,29
29,118,88172,62660,31
31,6,343511,23001,21
31,40,268286,37899,21
31,56,439780,40956,23
31,63,44959,1690,25
33,54,94703,52885,22
33,55,98929,55669,20
34,0,91124,20923,28
34,52,584473,51353,22
35,20,30248,43493,19
36,18,121342,31213,20
36,56,365885,37429,19
36,86,326798,34206,17
37,78,82560,40068,22
38,52,93333,54736,21
38,59,126081,95030,20
39,11,120576,31764,20
39,52,225869,34607,19
39,59,274070,53634,20
39,63,382669,49296,23
39,66,43671,84563,19
39,74,267921,35340,24
40,54,96126,24465,28
40,58,46880,22825,22
40,62,90808,94631,18
40,63,638308,46698,20
40,80,90659,56962,23
41,51,18517,16549,26
41,52,631154,50420,23
41,55,104653,32292,24
41,58,87560,28161,22
41,59,279644,50578,18
42,4,630246,34024,16
42,54,241855,31204,24
42,55,347016,48486,19
42,56,438341,36719,20
43,3,228020,24903,22
43,54,355867,39734,17
43,56,284737,43852,22
43,58,27122,52918,21
43,60,356462,36470,22
43,76,58348,42433,22
44,0,195182,31194,21
44,43,247653,36631,25
44,54,315529,39492,22
44,59,492627,42348,19
44,64,535467,48054,19
45,55,224907,34754,25
45,56,622080,75755,21
45,62,540268,34660,15
45,64,214515,25503,21
46,54,212872,31442,21
46,56,63327,63740,18
46,59,540734,44621,20
46,60,56644,189,20
46,63,126724,21693,20
46,72,494920,26138,16
46,95,249194,55645,26
47,51,378669,44815,22
47,54,317409,29184,25
47,60,664786,34870,20
47,62,543904,50905,18
47,95,74686,83025,25
47,106,47187,33679,25
48,1,743062,49234,18
48,51,767206,30429,16
48,52,466459,48089,24
48,62,93915,93602,17
48,71,90860,35252,15
49,52,396854,44923,10
50,0,244986,38418,18
50,3,243656,32242,22
50,50,94750,52592,22
50,54,246295,29316,20
50,56,205483,113079,16
50,59,144895,52147,26
51,51,343141,34340,18
51,55,331722,32720,20
51,58,32093,33256,29
52,18,6090,85018,19
52,56,69471,89925,19
52,58,336385,36193,21
53,54,504478,34615,18
53,56,295938,38416,20
54,3,440832,36122,20
54,50,436482,29670,17
54,56,91682,34976,19
54,58,562600,34537,18
55,7,216881,23549,21
55,55,82260,58201,20
56,7,226533,16594,20
57,50,633803,33822,15
57,51,224539,34684,19
57,67,93995,55716,22
58,58,8407,5328,25
59,78,36060,35578,22
60,1,291581,29110,20
61,99,95778,22415,20
64,79,251981,37045,22
65,7,239263,37203,34
65,56,238160,24832,24
65,58,640899,50141,20
66,55,358195,29701,25
66,58,595366,47216,21
67,18,396309,32854,21
67,55,3352,7351,20
67,56,930519,60279,22
67,126,31199,52523,18
69,115,249181,30039,27
70,31,49491,27431,18
70,114,288657,38052,16
71,1,79892,36588,25
71,54,39534,17526,139
72,58,590219,29631,24
72,87,343337,33834,19
74,64,363038,30153,25
74,84,154255,36785,20
75,28,91049,98786,28
76,44,221240,49973,21
76,63,221278,33092,23
77,36,94140,34052,18
77,55,570208,33203,16
77,112,31145,16150,17
78,71,655159,80936,23
78,72,570665,59114,26
79,80,91298,34204,16
80,36,34104,33404,24
80,43,308033,31969,21
80,48,291070,51555,22
81,36,295557,51766,19
81,43,264293,36842,21
82,38,127769,31360,23
82,42,48583,58567,20
82,116,37819,41927,18
83,32,296149,37162,21
84,20,506013,56237,16
84,32,44845,38869,21
84,34,77892,48386,24
85,24,203110,41182,21
85,30,31595,18458,16
87,48,335562,30671,25
87,52,153579,31461,22
88,16,94105,68736,27
88,36,15498,42289,38
88,48,601086,53851,22
90,7,266011,44165,22
90,48,274693,32789,23
90,90,88989,22005,24
91,48,208034,31363,25
91,90,227828,21725,21
91,91,181025,22533,20
91,94,331376,20274,20
91,108,301617,37101,18
92,36,158703,37709,17
92,55,25524,21530,18
92,103,31204,24350,19
92,107,166150,39286,19
93,8,110503,19728,20
93,35,199347,40512,20
93,50,248041,22716,63
93,76,215594,36832,22
93,95,28031,19746,18
93,108,237892,37242,15
94,3,100595,34605,17
94,4,380807,46152,17
94,10,308835,30380,23
94,15,596347,206368,22
94,111,179908,39586,22
95,8,243243,34236,17
95,50,375071,32894,18
95,51,340272,28978,26
95,52,163846,26550,26
95,72,28630,26625,31
95,110,94711,36067,19
97,32,170393,41219,17
97,42,34865,9738,28
97,92,218140,19475,18
98,48,366467,37092,16
98,92,91657,19838,23
98,108,191161,39828,19
99,36,94456,37293,20
99,115,91323,14340,19
100,40,83398,35480,23
100,47,19052,36952,20
100,92,97479,28228,20
100,94,21331,22321,18
101,15,249419,38138,20
101,38,93413,19353,24
101,47,13910,38503,26
102,30,231278,37744,19
103,24,171928,29009,24
103,28,149683,23592,20
103,31,249573,36739,19
103,38,46015,21226,19
103,39,31954,9669,23
103,86,82814,18488,20
103,112,155320,52157,22
104,24,341244,52384,19
104,47,348034,85691,24
104,48,322029,93592,24
104,114,55619,59253,17
104,115,47981,21747,17
105,26,94587,37688,20
105,36,5957,500,26
105,43,814980,27200,24
105,112,201626,44463,19
106,36,365161,36213,21
106,90,54276,19554,22
106,103,57308,37351,22
107,15,550793,37708,17
107,27,353954,48607,22
107,44,189088,37691,21
107,102,42098,28895,0
107,116,49067,31071,20
108,7,198842,34193,21
108,40,73300,40220,23
109,7,244482,35086,22
112,19,389546,33741,19
112,36,78070,28298,28
114,20,156131,50216,24
114,100,45529,41488,16
115,0,326430,38836,18
115,48,279833,65832,21
116,46,78124,92721,29
116,70,44907,39667,21
116,71,23310,28117,22
117,18,98455,46012,18
117,71,78649,26265,22
117,72,57470,24810,24
118,47,76822,91019,25
119,16,131729,69853,16
119,19,164331,52467,20
119,71,262116,44628,24
120,0,622496,32725,0
120,4,281304,14717,22
120,18,34373,53886,22
122,26,175293,17819,19
122,32,95566,29990,25
122,54,38608,9933,29
123,52,35279,21320,23
123,120,75644,34454,23
124,4,118225,46248,21
124,52,43633,29806,22
125,119,99521,27015,24
125,120,207661,42373,23
126,122,176286,45577,24
127,0,240248,29698,23
127,122,500978,48502,26
