x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms
0,70,78256,53227,7
0,72,320089,52884,5
1,52,329812,52422,6
1,57,105530,41498,9
1,59,202153,47409,30
2,57,69180,30665,13
2,87,64955,36887,32
3,87,109773,34800,14
4,49,378892,122642,4
4,52,1101,9705,32
4,59,273337,51264,18
4,87,85832,93952,3
5,32,791,2936,24
5,49,395334,121408,4
5,50,65322,36182,5
7,32,2305,6726,40
7,33,4888,2643,41
7,35,3186,973,43
7,50,240182,54068,3
7,52,316283,52047,2
8,32,1152,5606,43
8,55,28868,40035,16
9,25,59,425,885
9,94,81608,40014,6
9,96,132980,58245,4
10,92,90768,47146,6
10,94,147027,50714,6
10,96,124420,44926,5
12,89,155404,50891,6
12,92,62480,50492,6
12,96,6464,2919,71
13,94,156807,20229,36
13,96,179527,50912,4
15,92,239148,46443,23
15,94,87278,50919,6
15,96,292252,51038,3
15,97,289497,51143,5
16,92,299034,45694,40
18,89,4830,894,98
19,87,1791,10547,6
19,92,114090,29309,21
19,94,30332,15268,32
22,90,3880,197,34
24,87,14299,134339,68
25,87,213674,2215,78
25,92,33714,24949,27
27,92,114294,53223,24
27,94,206724,125174,5
28,22,11078,27653,19
28,85,1975,4291,87
28,87,59904,31114,4
28,89,227914,126561,4
28,90,6180,1405,87
28,92,5246,2209,45
28,94,120612,49155,26
30,87,10468,1625,28
32,17,11402,5720,15
34,84,50958,11339,4
36,82,32637,10947,3
36,85,85342,45453,5
37,92,156553,50892,3
37,94,179911,44977,43
42,50,31509,6073,57
43,80,33328,10166,6
43,82,107564,52624,3
43,85,221605,91718,3
43,89,15063,11116,7
44,45,64458,6063,19
44,52,8621,432,57
44,89,265628,82470,3
45,87,336514,102338,4
48,59,3546,1228,70
49,87,92691,15036,13
49,89,32183,10453,5
50,43,1981,206,23
54,74,26172,706,61
55,80,15907,1054,31
57,75,37509,1514,80
57,79,100783,65029,5
58,80,402264,223418,6
59,82,129074,48238,4
59,84,10664,4444,68
60,69,19764,797,65
61,70,21819,642,74
61,77,5127,215,32
61,80,101614,51626,4
61,82,91980,37623,58
62,77,111197,40177,8
62,79,21133,24703,3
62,80,74282,53919,5
63,69,22007,294,78
63,75,91906,52044,6
66,35,92519,22918,26
66,37,29809,10275,4
66,40,93068,43208,29
66,42,92908,51693,48
67,64,26804,2609,62
67,75,93527,50567,5
68,35,60116,22874,23
68,38,234454,39637,41
68,40,115559,38416,18
69,35,244,150,26
69,37,91588,52613,13
70,89,82856,27041,40
70,90,263844,51082,4
71,8,2954,3959,14
71,87,25011,4509,16
71,89,26038,19161,36
71,90,171171,32152,14
72,37,5554,543,29
73,49,1446,2449,26
73,90,61765,36960,31
75,33,49037,24416,7
77,33,22865,37312,52
95,85,12867,19201,14
104,77,43810,752,138
113,75,67279,33345,5
114,77,44544,8364,38
114,79,35633,21599,56
114,80,100792,56387,4
116,79,85181,42511,6
117,79,42718,55509,4
122,72,16533,11625,31
